"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1999","-","-","-","-","-","-","-","-","-","-","-"
"2","2000","-","-","-","-","-","-","-","-","-","-","-"
"3","2001","-","-","-","-","-","-","-","-","-","-","-"
"4","2002","-","-","-","-","-","-","-","-","-","-","-"
"5","2003","-","-","-","-","-","-","-","-","-","-","-"
"6","2004","-","-","-","-","-","-","-","-","-","-","-"
"7","2005","-","-","-","-","-","-","-","-","-","-","-"
"8","2006","-","-","-","-","-","-","-","-","-","-","-"
"9","2007","-","-","-","-","-","-","-","-","-","-","-"
"10","2008","-","-","-","-","-","-","-","-","-","-","-"
"11","2009","-","-","-","-","-","-","-","-","-","-","-"
"12","2010","2.4","6.4","-2.8","-","8.6","143","145","2","78","0","0"
"13","2011","4.9","8.9","-0.1","-","8.8","179","95","3","79","0","0"
"14","2012","3.4","7.1","-1.5","-","9.6","180","123","0","86","0","0"
"15","2013","-","-","-","-","-","-","-","-","-","-","-"
"16","2014","5.4","9.2","0.6","-","9.6","160","96","1","83","0","1"
"17","2015","5.6","9.4","0.9","-","10.4","202","81","0","83","0","0"
"18","2016","4.4","8.3","-0.5","-","9.1","170","103","0","103","0","0"
"19","2017","4.4","7.9","-0.1","-","9.9","214","121","0","90","0","0"
"20","2018","-","-","-","-","-","-","-","-","-","-","-"
"21","2019","-","-","-","-","-","-","-","-","-","-","-"
