"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1975","-","-","-","-","-","-","-","-","-","-","-"
"2","1976","9.4","12.2","4.3","297.44","13.0","131","48","7","43","0","6"
"3","1977","9.8","12.2","5.7","276.86","11.4","143","30","7","51","0","8"
"4","1978","9.3","12.1","4.5","751.64","10.4","156","43","12","48","0","0"
"5","1979","8.2","11.5","3.9","481.36","14.3","156","61","22","48","0","2"
"6","1980","8.0","11.0","3.6","721.90","14.1","180","61","23","49","0","8"
"7","1981","9.2","12.4","4.7","578.37","14.4","188","58","24","54","0","6"
"8","1982","9.0","13.5","4.4","366.02","11.9","163","29","20","78","0","9"
"9","1983","9.3","13.5","5.1","521.70","14.2","203","40","17","49","0","9"
"10","1984","8.2","11.8","4.4","534.63","13.1","184","44","15","57","0","1"
"11","1985","8.2","11.5","3.4","432.84","14.0","173","59","21","52","0","5"
"12","1986","7.9","12.0","3.7","552.71","13.2","168","52","14","50","0","6"
"13","1987","7.2","10.8","3.3","647.44","14.4","204","56","26","70","0","5"
"14","1988","9.2","13.3","5.5","420.28","15.8","206","50","22","57","0","6"
"15","1989","9.8","14.4","5.4","402.85","14.6","174","22","11","73","0","3"
"16","1990","9.7","14.0","5.7","564.71","15.7","197","25","25","60","0","2"
"17","1991","-","-","-","-","-","-","-","-","-","-","-"
