"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1965","-","-","-","-","-","-","-","-","-","-","-"
"2","1966","-","-","-","-","-","-","-","-","-","-","-"
"3","1967","-","-","-","-","-","-","-","-","-","-","-"
"4","1968","-","-","-","-","-","-","-","-","-","-","-"
"5","1969","16.3","21.5","10.8","-","10.0","68","3","12","9","0","1"
"6","1970","16.5","22.0","10.4","-","11.4","64","2","9","3","0","0"
"7","1971","-","-","-","-","-","-","-","-","-","-","-"
"8","1973","-","-","-","-","-","-","-","-","-","-","-"
"9","1974","-","-","-","-","-","-","-","-","-","-","-"
"10","1977","-","-","-","-","-","-","-","-","-","-","-"
"11","1981","-","-","-","-","-","-","-","-","-","-","-"
"12","1982","-","-","-","-","-","-","-","-","-","-","-"
"13","1983","-","-","-","-","-","-","-","-","-","-","-"
"14","1984","-","-","-","-","-","-","-","-","-","-","-"
"15","1985","-","-","-","-","-","-","-","-","-","-","-"
"16","1986","-","-","-","-","-","-","-","-","-","-","-"
"17","1987","-","-","-","-","-","-","-","-","-","-","-"
"18","1988","-","-","-","-","-","-","-","-","-","-","-"
"19","1989","-","-","-","-","-","-","-","-","-","-","-"
"20","1990","-","-","-","-","-","-","-","-","-","-","-"
"21","1991","-","-","-","-","-","-","-","-","-","-","-"
"22","1992","-","-","-","-","-","-","-","-","-","-","-"
"23","1997","-","-","-","-","-","-","-","-","-","-","-"
"24","1998","-","-","-","-","-","-","-","-","-","-","-"
"25","1999","17.1","22.3","11.4","-","10.9","76","1","22","2","0","1"
"26","2000","16.5","21.9","10.6","-","8.1","62","7","11","8","0","0"
"27","2001","-","-","-","-","-","-","-","-","-","-","-"
"28","2002","-","-","-","-","-","-","-","-","-","-","-"
"29","2003","-","-","-","-","-","-","-","-","-","-","-"
"30","2004","-","-","-","-","-","-","-","-","-","-","-"
"31","2005","-","-","-","-","-","-","-","-","-","-","-"
"32","2006","15.8","20.6","10.8","-","7.2","75","7","16","15","0","0"
"33","2007","16.7","22.0","11.1","-","6.7","77","2","10","1","0","1"
"34","2008","16.6","21.9","11.2","-","7.0","69","5","11","8","0","0"
"35","2009","-","-","-","-","-","-","-","-","-","-","-"
"36","2010","17.3","22.5","11.9","-","7.8","64","2","12","2","0","0"
"37","2011","-","-","-","-","-","-","-","-","-","-","-"
"38","2012","16.9","22.2","11.2","-","8.0","92","7","15","1","0","1"
"39","2013","-","-","-","-","-","-","-","-","-","-","-"
"40","2014","17.0","22.4","11.2","-","7.4","91","1","14","5","0","0"
"41","2015","16.5","21.9","10.8","-","7.9","83","6","17","2","0","0"
"42","2016","17.3","22.8","11.3","-","7.9","73","4","3","0","0","0"
"43","2017","-","-","-","-","-","-","-","-","-","-","-"
"44","2018","-","-","-","-","-","-","-","-","-","-","-"
"45","2019","-","-","-","-","-","-","-","-","-","-","-"
