"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1949","-","-","-","-","-","-","-","-","-","-","-"
"2","1950","5.3","7.0","3.7","1319.33","41.6","228","60","0","18","0","9"
"3","1951","4.8","6.6","3.2","1140.80","39.9","189","68","0","13","0","6"
"4","1952","4.9","6.6","3.2","1161.46","37.5","199","52","0","21","0","4"
"5","1953","5.8","7.5","-","1723.51","39.2","245","71","0","9","0","11"
"6","1954","5.2","-","3.4","1326.29","41.9","233","76","0","16","0","14"
"7","1955","4.8","-","3.0","1422.75","40.5","222","44","0","8","0","6"
"8","1956","5.5","7.1","3.7","1410.39","39.2","230","50","0","16","0","14"
"9","1973","4.5","-","-","-","40.5","225","78","1","39","0","6"
"10","1974","5.4","-","-","-","40.7","243","60","1","28","0","8"
"11","1975","4.7","-","-","-","44.3","242","76","1","39","0","10"
"12","1976","4.9","6.3","3.5","-","44.0","251","78","4","45","0","4"
"13","1977","5.1","-","-","-","41.3","227","40","0","36","0","5"
"14","1978","5.1","6.5","3.6","-","44.7","242","66","5","29","0","5"
"15","1979","3.8","5.4","2.1","-","39.0","196","80","1","25","0","5"
"16","1980","5.1","6.5","3.6","-","41.5","216","68","3","27","0","2"
"17","1981","4.0","5.6","2.3","-","41.6","208","73","3","33","0","5"
"18","1982","4.6","6.1","3.1","-","41.1","234","73","1","30","0","10"
"19","1983","4.0","5.7","2.5","-","40.5","222","88","2","29","0","9"
"20","1984","-","-","-","-","-","239","93","3","44","0","3"
"21","1985","4.9","6.8","3.3","-","39.0","211","57","0","26","0","11"
"22","1986","4.8","6.9","2.9","-","36.8","234","85","0","22","0","9"
"23","1987","5.6","7.4","4.0","-","39.1","236","42","2","44","0","2"
"24","1988","4.8","6.8","3.0","-","37.3","222","67","0","24","0","4"
"25","1989","4.5","6.5","2.6","-","39.4","245","87","2","38","0","6"
"26","1990","4.8","6.8","3.0","-","37.6","241","102","0","36","0","12"
"27","1991","5.4","7.4","3.5","-","38.1","234","67","0","44","0","3"
"28","1992","4.5","6.6","2.6","-","41.5","254","97","1","30","0","12"
"29","1993","4.7","6.9","2.7","-","37.5","231","106","4","52","0","12"
"30","1994","4.7","6.7","2.9","-","34.3","220","82","1","31","0","6"
"31","1995","4.4","6.4","2.6","428.60","32.6","220","66","0","50","0","3"
"32","1996","5.5","7.4","3.6","522.32","32.5","245","58","0","43","0","4"
"33","1997","5.5","7.4","3.7","467.41","38.3","267","65","1","63","0","5"
"34","1998","5.3","7.3","3.3","-","37.6","232","61","1","21","0","3"
"35","1999","4.9","6.9","3.0","-","38.1","245","73","2","28","0","7"
"36","2000","5.1","7.2","3.2","-","36.9","218","71","0","29","0","4"
"37","2001","5.6","7.6","3.7","-","38.2","230","56","0","33","0","3"
"38","2002","-","-","-","-","-","-","-","-","-","-","-"
"39","2003","6.2","8.3","4.4","-","39.6","257","50","2","41","0","3"
"40","2004","6.0","8.2","3.9","-","40.9","241","49","0","18","0","2"
"41","2005","-","-","-","-","-","-","-","-","-","-","-"
"42","2006","5.9","8.2","3.9","-","41.0","230","56","1","32","0","5"
"43","2007","5.9","8.1","3.9","-","42.0","243","57","0","33","0","3"
"44","2008","5.6","7.6","3.6","-","40.8","224","87","1","28","0","6"
"45","2009","6.1","8.0","4.2","-","38.0","227","42","0","22","0","3"
"46","2010","6.2","8.2","4.4","-","35.9","215","26","1","50","0","2"
"47","2011","6.0","8.0","3.8","-","35.1","251","79","2","53","0","14"
"48","2012","6.1","8.1","3.9","-","33.6","236","59","0","49","0","5"
"49","2013","5.7","-","-","-","30.0","208","42","1","69","1","1"
"50","2014","6.9","-","-","-","27.9","176","20","0","36","0","2"
"51","2015","5.4","-","-","-","28.2","167","38","0","36","0","0"
"52","2016","6.8","-","-","-","29.0","147","23","0","40","0","0"
"53","2017","6.4","-","-","-","27.9","165","21","0","66","0","0"
"54","2018","-","-","-","-","-","-","-","-","-","-","-"
"55","2019","-","-","-","-","-","-","-","-","-","-","-"
