"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1957","-","-","-","-","-","-","-","-","-","-","-"
"2","1958","21.8","27.8","16.6","1752.32","2.9","71","0","22","3","0","0"
"3","1961","-","-","-","-","-","-","-","-","-","-","-"
"4","1962","-","-","-","-","-","-","-","-","-","-","-"
"5","1973","-","-","-","-","-","-","-","-","-","-","-"
"6","1974","-","-","-","-","-","-","-","-","-","-","-"
"7","1975","-","-","-","-","-","-","-","-","-","-","-"
"8","1976","-","-","-","-","-","-","-","-","-","-","-"
"9","1977","-","-","-","-","-","-","-","-","-","-","-"
"10","1978","-","-","-","-","-","-","-","-","-","-","-"
"11","1979","-","-","-","-","-","-","-","-","-","-","-"
"12","1983","-","-","-","-","-","-","-","-","-","-","-"
"13","1984","-","-","-","-","-","-","-","-","-","-","-"
"14","1985","-","-","-","-","-","-","-","-","-","-","-"
"15","1986","-","-","-","-","-","-","-","-","-","-","-"
"16","1987","-","-","-","-","-","-","-","-","-","-","-"
"17","1988","-","-","-","-","-","-","-","-","-","-","-"
"18","1989","-","-","-","-","-","-","-","-","-","-","-"
"19","1992","-","-","-","-","-","-","-","-","-","-","-"
"20","1993","-","-","-","-","-","-","-","-","-","-","-"
"21","1994","-","-","-","-","-","-","-","-","-","-","-"
"22","1995","-","-","-","-","-","-","-","-","-","-","-"
"23","1996","-","-","-","-","-","-","-","-","-","-","-"
"24","1997","-","-","-","-","-","-","-","-","-","-","-"
"25","1998","-","-","-","-","-","-","-","-","-","-","-"
"26","1999","-","-","-","-","-","-","-","-","-","-","-"
"27","2000","-","-","-","-","-","-","-","-","-","-","-"
"28","2001","21.7","28.9","16.0","-","2.4","95","0","69","7","0","2"
"29","2002","-","-","-","-","-","-","-","-","-","-","-"
"30","2003","21.4","28.7","15.7","1682.50","2.6","117","0","77","12","0","0"
"31","2004","21.7","28.6","16.2","1982.49","2.7","104","0","70","9","0","0"
"32","2005","-","-","-","-","-","-","-","-","-","-","-"
"33","2006","22.4","29.2","16.7","1744.52","2.5","115","0","79","1","0","0"
"34","2007","-","-","-","-","-","-","-","-","-","-","-"
"35","2008","21.4","28.9","16.0","2276.56","2.3","133","0","86","6","0","1"
"36","2009","22.0","30.2","16.1","1554.71","2.2","96","0","62","5","0","0"
"37","2010","22.4","30.3","16.6","2692.65","2.2","105","0","71","13","1","2"
"38","2011","21.3","28.8","15.8","-","2.2","108","0","80","9","0","1"
"39","2012","21.7","29.7","16.0","2198.91","1.7","103","0","71","8","0","1"
"40","2013","21.4","29.2","16.2","3053.14","1.5","120","0","81","4","0","2"
"41","2014","21.4","29.2","16.0","-","1.7","116","0","81","7","0","1"
"42","2015","21.7","29.4","16.4","1564.91","1.5","110","1","81","8","0","0"
"43","2016","22.4","30.4","16.7","-","1.7","94","0","59","6","0","0"
"44","2017","22.2","30.1","16.6","-","1.7","98","0","58","4","0","1"
"45","2018","22.0","30.1","16.3","-","2.0","107","1","75","5","0","0"
"46","2019","-","-","-","-","-","-","-","-","-","-","-"
