"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1949","22.3","30.1","17.0","159.52","13.4","26","0","3","10","0","0"
"2","1950","23.3","30.8","17.6","166.12","11.1","27","0","2","7","0","0"
"3","1951","25.4","32.4","17.7","72.14","12.4","28","1","4","6","0","0"
"4","1952","24.6","31.7","18.2","141.74","12.3","38","1","5","2","0","0"
"5","1953","23.9","30.6","18.0","123.40","12.2","48","0","13","11","0","1"
"6","1954","24.6","30.7","19.3","322.32","10.3","56","0","18","23","1","0"
"7","1955","24.5","31.8","17.9","105.63","12.0","44","0","13","17","0","0"
"8","1957","-","-","-","-","-","-","-","-","-","-","-"
"9","1958","24.8","32.1","17.7","-","9.8","25","0","4","11","0","0"
"10","1963","-","-","-","-","-","-","-","-","-","-","-"
"11","1964","-","-","-","-","-","-","-","-","-","-","-"
"12","1967","-","-","-","-","-","-","-","-","-","-","-"
"13","1968","-","-","-","-","-","-","-","-","-","-","-"
"14","1973","-","-","-","-","-","-","-","-","-","-","-"
"15","1974","24.6","31.3","17.5","-","12.9","59","1","14","19","0","0"
"16","1975","-","-","-","-","-","-","-","-","-","-","-"
"17","1976","-","-","-","-","-","-","-","-","-","-","-"
"18","1977","25.4","32.4","18.0","-","12.8","43","0","12","4","0","1"
"19","1978","24.8","32.2","17.6","-","11.5","34","1","9","9","0","0"
"20","1979","25.6","33.1","18.8","-","11.1","43","1","16","4","0","1"
"21","1980","-","-","-","-","-","-","-","-","-","-","-"
"22","1988","-","-","-","-","-","-","-","-","-","-","-"
"23","1989","-","-","-","-","-","-","-","-","-","-","-"
"24","1990","-","-","-","-","-","-","-","-","-","-","-"
"25","2003","-","-","-","-","-","-","-","-","-","-","-"
"26","2004","25.6","32.6","17.9","-","19.9","38","0","22","12","0","0"
"27","2005","-","-","-","-","-","-","-","-","-","-","-"
"28","2006","25.8","32.9","18.1","-","16.4","44","0","17","7","0","0"
"29","2007","25.8","33.0","18.1","-","15.0","35","0","19","4","0","0"
"30","2008","-","-","-","-","-","-","-","-","-","-","-"
"31","2009","-","-","-","-","-","-","-","-","-","-","-"
"32","2010","-","-","-","-","-","-","-","-","-","-","-"
"33","2011","25.8","33.1","17.7","48.80","16.1","30","0","13","5","0","1"
"34","2012","26.6","33.8","18.8","91.19","14.7","23","0","12","9","0","0"
"35","2013","25.6","33.1","18.0","-","15.4","26","0","8","13","1","0"
"36","2014","26.6","33.9","18.7","-","15.5","24","0","6","16","0","0"
"37","2015","-","-","-","-","-","-","-","-","-","-","-"
"38","2016","-","-","-","-","-","27","0","12","3","0","0"
"39","2017","27.4","35.7","18.8","55.63","14.9","15","0","7","3","0","0"
"40","2018","-","-","-","-","-","-","-","-","-","-","-"
"41","2019","-","-","-","-","-","-","-","-","-","-","-"
