"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","7.2","10.3","4.4","2028.18","7.3","99","39","42","124","2","2"
"6","1978","7.0","-","-","1104.18","5.7","81","34","33","110","0","0"
"7","1979","-","-","-","-","-","-","-","-","-","-","-"
"8","1980","6.5","9.9","3.6","1127.51","6.9","74","34","26","124","0","3"
"9","1981","7.0","10.4","4.0","1731.54","7.6","74","28","35","120","0","1"
"10","1982","7.9","11.2","5.0","1468.90","6.1","81","28","41","109","1","3"
"11","1983","8.0","11.4","5.1","1085.36","7.5","78","28","34","106","0","4"
"12","1984","6.5","9.7","3.7","1463.32","7.2","86","40","37","119","0","7"
"13","1985","7.4","10.5","4.8","943.30","5.7","70","42","25","104","0","2"
"14","1986","7.2","10.2","4.7","1113.59","5.2","84","42","29","107","0","4"
"15","1987","7.4","10.6","4.6","1400.35","5.2","77","42","31","105","0","7"
"16","1988","7.7","10.7","5.1","-","5.3","89","24","36","116","0","6"
"17","1989","8.5","11.8","5.4","1128.00","4.2","83","16","32","107","0","0"
"18","1990","8.0","11.4","5.2","1371.82","5.2","97","26","51","130","0","4"
"19","1991","-","-","-","-","-","-","-","-","-","-","-"
"20","1992","7.9","10.6","5.4","5405.61","4.2","108","30","59","133","1","2"
"21","1993","7.5","10.1","5.1","1600.71","5.6","104","23","55","137","0","4"
"22","1994","8.5","11.0","6.4","1589.81","6.0","97","30","42","129","0","5"
"23","1995","7.3","10.0","5.1","1368.07","7.9","101","35","47","147","0","4"
"24","1996","-","-","-","-","-","-","-","-","-","-","-"
"25","2005","-","-","-","-","-","-","-","-","-","-","-"
"26","2007","-","-","-","-","-","-","-","-","-","-","-"
