"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1946","22.5","25.7","20.1","-","19.8","184","0","7","12","0","0"
"2","1947","21.1","24.1","18.7","-","20.2","228","0","17","21","0","0"
"3","1948","22.1","25.1","19.6","-","20.1","199","0","13","8","0","0"
"4","1949","21.9","24.8","19.5","-","18.6","210","0","7","2","0","0"
"5","1950","22.1","25.2","19.7","-","15.0","237","0","23","3","0","0"
"6","1951","22.0","24.9","19.7","-","17.6","218","0","16","18","0","0"
"7","1952","22.9","26.0","20.6","-","16.7","214","0","18","3","0","0"
"8","1953","22.5","25.1","20.4","-","16.1","207","0","10","3","0","0"
"9","1954","22.7","25.3","20.5","-","14.9","223","0","20","12","0","0"
"10","1955","22.3","25.1","20.1","-","16.5","204","0","15","11","0","0"
"11","1956","22.3","25.0","20.2","-","19.3","217","0","10","38","0","0"
"12","1957","22.3","25.0","20.1","-","17.0","211","0","6","39","0","0"
"13","1958","22.5","25.3","20.3","-","18.0","199","0","16","10","0","0"
"14","1959","22.7","25.5","20.6","-","18.0","193","0","17","60","0","0"
"15","1960","22.3","24.9","20.3","-","16.2","175","0","9","78","0","0"
"16","1961","22.3","25.0","20.0","-","17.1","209","0","16","70","0","0"
"17","1962","21.9","24.8","19.4","-","14.8","201","0","18","99","0","0"
"18","1963","21.4","24.5","18.7","-","14.1","171","1","11","46","0","0"
"19","1964","22.1","25.0","19.7","-","14.2","191","0","23","69","0","0"
"20","1965","21.5","24.5","18.9","-","15.6","199","0","23","47","0","0"
"21","1966","22.6","25.6","20.2","-","14.7","215","0","13","37","0","0"
"22","1967","21.9","24.9","19.4","-","14.4","168","0","15","17","0","0"
"23","1968","21.3","24.5","18.5","-","14.4","179","0","11","7","1","0"
"24","1969","21.9","25.0","19.4","-","15.4","188","0","17","7","1","0"
"25","1970","21.6","24.8","19.0","-","14.4","188","0","18","16","0","0"
"26","1973","22.4","25.3","20.0","-","12.4","196","0","18","13","0","0"
"27","1974","22.4","25.3","19.9","-","11.8","214","0","25","11","4","0"
"28","1975","22.5","25.4","20.1","-","13.7","249","0","47","14","4","0"
"29","1976","22.0","25.0","19.5","-","14.1","204","0","18","3","1","0"
"30","1977","22.7","25.6","20.2","-","14.2","206","0","21","2","1","1"
"31","1978","23.0","25.7","20.6","-","13.0","239","0","34","2","1","1"
"32","1979","22.8","25.7","20.3","-","13.0","233","0","31","6","1","0"
"33","1980","22.6","25.6","20.1","-","13.4","224","0","32","5","1","0"
"34","1981","22.3","25.2","19.7","-","12.0","212","0","11","5","0","0"
"35","1982","22.8","25.7","20.3","-","13.5","214","0","12","0","0","0"
"36","1983","23.2","25.9","20.9","-","13.2","234","0","36","3","1","0"
"37","1984","22.9","25.7","20.5","-","14.9","234","0","29","12","1","0"
"38","1985","23.5","26.4","21.0","-","14.4","236","0","32","6","2","0"
"39","1986","22.0","25.1","19.3","-","16.3","203","0","28","7","1","0"
"40","1987","23.7","26.5","21.2","-","15.9","236","0","38","5","0","1"
"41","1988","23.6","26.5","21.2","-","13.9","243","0","33","1","0","1"
"42","1989","23.5","26.6","20.8","-","14.3","219","0","26","3","1","0"
"43","1990","23.4","26.4","20.9","-","16.4","235","1","29","2","1","0"
"44","1991","23.4","26.4","21.0","-","14.7","222","0","29","0","0","0"
"45","1992","22.8","25.9","20.1","-","12.9","224","1","33","2","1","0"
"46","1993","23.3","26.6","20.8","-","13.2","220","0","21","2","0","0"
"47","1995","23.1","26.3","20.5","-","16.7","239","0","26","3","3","0"
"48","1996","22.7","25.9","20.1","-","19.7","209","0","17","2","1","0"
"49","1997","22.5","25.6","19.8","-","17.6","206","0","26","1","2","0"
"50","1998","24.4","27.4","21.8","-","16.6","252","0","57","1","2","0"
"51","1999","24.3","27.5","21.4","-","16.7","225","0","34","0","5","0"
"52","2000","22.4","25.4","19.8","-","16.7","226","0","29","0","1","0"
"53","2001","22.5","25.6","19.9","-","15.8","234","0","50","2","2","0"
"54","2002","-","-","-","-","-","183","0","22","1","1","0"
"55","2003","22.7","25.8","20.0","-","17.1","191","0","29","9","0","0"
"56","2004","22.5","25.6","19.7","-","17.7","189","0","31","7","1","0"
"57","2005","-","-","-","-","-","-","-","-","-","-","-"
"58","2006","22.8","25.8","19.9","-","15.6","228","0","43","17","0","0"
"59","2007","22.7","26.0","18.7","-","17.4","251","0","27","70","1","0"
"60","2008","22.4","25.8","18.5","-","15.3","244","0","30","65","0","0"
"61","2009","22.7","26.2","18.7","-","16.7","255","0","21","42","0","0"
"62","2010","22.5","25.8","18.8","-","16.7","274","0","22","29","1","0"
"63","2011","22.2","25.4","18.7","-","17.2","273","0","12","21","1","0"
"64","2012","22.3","25.5","18.7","-","17.2","262","0","17","33","0","0"
"65","2013","22.6","25.9","18.7","-","17.0","248","0","17","20","0","0"
"66","2014","22.2","25.6","18.2","-","17.1","238","0","36","27","1","0"
"67","2015","22.8","26.0","19.0","-","16.3","190","0","17","32","0","0"
"68","2016","23.3","26.6","19.8","-","16.0","224","0","30","20","0","0"
"69","2017","22.9","26.2","18.9","-","16.2","215","0","22","17","0","0"
"70","2018","22.7","26.2","18.8","-","17.2","209","0","20","12","0","0"
"71","2019","-","-","-","-","-","-","-","-","-","-","-"
