"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1979","-","-","-","-","-","-","-","-","-","-","-"
"2","1980","-","-","-","-","-","-","-","-","-","-","-"
"3","1981","-","-","-","-","-","-","-","-","-","-","-"
"4","1982","-","-","-","-","-","-","-","-","-","-","-"
"5","1983","19.4","24.8","14.6","1042.23","6.7","159","0","22","5","1","0"
"6","1984","18.9","24.5","13.8","842.01","7.2","145","0","28","4","0","1"
"7","1985","18.7","23.7","13.9","1150.38","6.6","197","2","49","26","0","5"
"8","1986","19.0","24.3","13.8","978.46","6.8","170","0","33","15","0","2"
"9","1987","20.0","25.2","14.5","904.27","7.8","160","0","34","14","1","4"
"10","1988","-","-","-","-","-","-","-","-","-","-","-"
"11","1989","18.2","23.1","14.0","1312.24","-","194","0","36","11","0","3"
"12","1990","18.3","23.4","14.0","-","-","171","0","39","11","0","0"
"13","1991","-","-","-","-","-","150","0","25","9","0","1"
"14","1992","-","-","-","-","-","-","-","-","-","-","-"
"15","1993","-","-","-","-","-","-","-","-","-","-","-"
"16","1994","19.1","24.3","-","1577.97","-","94","0","18","4","0","1"
"17","1995","18.9","24.0","14.2","1283.25","6.4","91","1","15","2","0","0"
"18","1996","-","-","-","-","-","-","-","-","-","-","-"
"19","1997","-","-","-","-","-","-","-","-","-","-","-"
"20","1998","-","-","-","-","-","-","-","-","-","-","-"
"21","1999","-","-","-","-","-","-","-","-","-","-","-"
"22","2000","-","-","-","-","-","-","-","-","-","-","-"
"23","2001","-","-","-","-","-","-","-","-","-","-","-"
"24","2002","-","-","-","-","-","-","-","-","-","-","-"
"25","2003","-","-","-","-","-","-","-","-","-","-","-"
"26","2004","-","-","-","-","-","-","-","-","-","-","-"
"27","2005","-","-","-","-","-","-","-","-","-","-","-"
"28","2006","-","-","-","-","-","-","-","-","-","-","-"
"29","2007","-","-","-","-","-","-","-","-","-","-","-"
"30","2008","-","-","-","-","-","-","-","-","-","-","-"
"31","2009","-","-","-","-","-","-","-","-","-","-","-"
"32","2010","-","-","-","-","-","-","-","-","-","-","-"
"33","2011","-","-","-","-","-","-","-","-","-","-","-"
"34","2012","19.8","25.0","14.3","-","6.8","134","0","31","5","0","0"
"35","2013","-","-","-","-","-","-","-","-","-","-","-"
"36","2014","-","-","-","-","-","-","-","-","-","-","-"
"37","2015","-","-","-","-","-","-","-","-","-","-","-"
"38","2016","-","-","-","-","-","-","-","-","-","-","-"
"39","2017","-","-","-","-","-","-","-","-","-","-","-"
"40","2018","-","-","-","-","-","-","-","-","-","-","-"
"41","2019","-","-","-","-","-","-","-","-","-","-","-"
