"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1942","-","-","-","-","-","-","-","-","-","-","-"
"2","1943","-","-","-","-","-","-","-","-","-","-","-"
"3","1944","-","-","-","-","-","-","-","-","-","-","-"
"4","1985","-","-","-","-","-","-","-","-","-","-","-"
"5","1986","21.4","23.4","19.8","0.00","20.0","0","0","0","0","0","0"
"6","1987","-","-","-","-","-","-","-","-","-","-","-"
"7","1988","21.1","23.0","19.4","0.00","20.8","0","0","0","0","0","0"
"8","1989","21.0","23.1","19.2","0.00","-","0","0","0","0","0","0"
"9","1990","21.7","23.7","19.9","0.00","20.4","0","0","0","0","0","0"
"10","1991","21.0","23.0","19.2","0.00","22.6","0","0","0","0","0","0"
"11","1992","-","-","-","-","-","-","-","-","-","-","-"
"12","1993","20.7","22.8","18.9","0.00","21.3","0","0","0","0","0","0"
"13","1994","21.1","23.1","19.5","0.00","-","0","0","0","0","0","0"
"14","1995","-","-","-","-","-","-","-","-","-","-","-"
"15","1996","21.2","23.3","19.3","0.00","21.3","0","0","0","0","0","0"
"16","1997","21.2","23.3","19.4","0.00","-","0","0","0","0","0","0"
"17","1998","22.2","24.0","20.6","0.00","23.4","0","0","0","0","0","0"
"18","1999","22.2","24.1","20.5","0.00","21.9","0","0","0","0","0","0"
"19","2000","22.1","23.9","20.4","0.00","22.9","0","0","0","0","0","0"
"20","2001","21.6","23.3","19.9","0.00","42.1","0","0","0","0","0","0"
"21","2002","-","-","-","-","-","-","-","-","-","-","-"
"22","2003","-","-","-","-","-","-","-","-","-","-","-"
"23","2004","21.7","23.5","19.9","0.00","23.4","0","0","0","0","0","0"
"24","2005","-","-","-","-","-","-","-","-","-","-","-"
"25","2006","-","-","-","-","-","-","-","-","-","-","-"
"26","2007","-","-","-","-","-","-","-","-","-","-","-"
"27","2009","-","-","-","-","-","-","-","-","-","-","-"
"28","2010","21.1","23.0","19.3","0.00","22.9","0","0","0","0","0","0"
"29","2011","22.0","23.8","20.3","0.00","22.6","0","0","0","0","0","0"
"30","2012","-","-","-","-","-","-","-","-","-","-","-"
"31","2013","-","-","-","-","-","-","-","-","-","-","-"
"32","2014","21.2","23.1","19.2","0.00","21.9","0","0","0","0","0","0"
"33","2015","-","-","-","-","-","-","-","-","-","-","-"
"34","2016","-","-","-","-","-","-","-","-","-","-","-"
"35","2017","-","-","-","-","-","-","-","-","-","-","-"
"36","2018","-","-","-","-","-","-","-","-","-","-","-"
