"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1963","-","-","-","-","-","-","-","-","-","-","-"
"2","1969","-","-","-","-","-","-","-","-","-","-","-"
"3","1970","-","-","-","-","-","-","-","-","-","-","-"
"4","1971","-","-","-","-","-","-","-","-","-","-","-"
"5","1973","-","-","-","-","-","-","-","-","-","-","-"
"6","1974","-","-","-","-","-","-","-","-","-","-","-"
"7","1975","-4.3","-","-11.6","-","-","40","29","17","7","0","5"
"8","1976","-","-","-","-","-","-","-","-","-","-","-"
"9","1977","-","-","-","-","-","41","19","13","4","0","2"
"10","1978","-3.4","-","-11.9","-","-","39","11","9","4","1","1"
"11","1979","-2.9","5.0","-10.6","-","10.2","51","26","19","11","0","1"
"12","1980","-5.0","3.0","-13.2","-","10.2","38","29","19","3","0","2"
"13","1981","-5.3","2.2","-13.0","-","-","54","31","8","0","0","0"
"14","1982","-4.3","3.0","-12.1","377.43","10.8","58","18","14","6","0","3"
"15","1983","-4.7","2.7","-12.4","308.84","9.9","52","25","22","12","0","2"
"16","1984","-5.2","1.7","-12.7","335.52","11.5","61","19","20","2","0","1"
"17","1985","-4.8","2.5","-12.6","309.38","11.0","49","31","28","11","0","1"
"18","1986","-4.3","3.2","-12.0","574.54","11.2","57","33","19","11","0","2"
"19","1987","-4.4","2.8","-12.5","244.33","12.3","56","30","11","13","1","3"
"20","1988","-4.7","3.1","-12.9","632.22","12.2","45","27","14","15","0","0"
"21","1989","-4.0","3.6","-11.6","248.92","11.4","55","25","19","12","0","0"
"22","1990","-3.3","4.2","-10.8","-","11.4","61","30","27","9","0","3"
"23","1991","-4.3","3.2","-12.2","-","10.4","42","29","16","10","0","0"
"24","1992","-","-","-","-","-","-","-","-","-","-","-"
"25","1993","-4.7","2.3","-12.3","0.00","8.2","42","26","11","14","0","0"
"26","1994","-3.8","3.3","-11.4","-","9.4","50","30","11","17","0","1"
"27","1995","-3.5","4.4","-11.7","9.91","10.0","40","22","9","16","0","0"
"28","1996","-","-","-","-","-","-","-","-","-","-","-"
"29","1997","-2.6","5.6","-10.7","1.02","11.4","42","12","12","7","0","2"
"30","1998","-2.4","5.5","-10.3","-","11.7","49","19","19","3","0","0"
"31","1999","-3.3","4.2","-11.6","-","10.8","46","14","19","2","0","0"
"32","2000","-4.4","3.0","-12.3","-","10.7","55","30","24","9","0","1"
"33","2001","-3.7","3.8","-11.7","-","9.3","52","28","23","3","0","1"
"34","2002","-","-","-","-","-","-","-","-","-","-","-"
"35","2003","-4.1","2.9","-11.4","372.09","10.0","63","36","18","2","0","1"
"36","2004","-2.9","4.7","-10.8","246.38","10.2","44","28","20","3","0","0"
"37","2005","-","-","-","-","-","-","-","-","-","-","-"
"38","2006","-3.3","4.0","-11.1","-","10.8","55","23","21","1","0","1"
"39","2007","-2.2","6.2","-10.5","-","9.6","47","24","25","2","0","1"
"40","2008","-3.5","4.6","-11.6","-","10.6","50","25","8","5","0","0"
"41","2009","-3.4","4.4","-11.5","336.57","12.6","56","23","21","7","0","0"
"42","2010","-4.8","2.8","-13.1","-","13.3","49","34","21","14","0","0"
"43","2011","-4.8","3.2","-13.3","-","11.5","45","38","21","0","0","0"
"44","2012","-5.5","1.9","-14.0","273.57","11.7","53","37","26","3","0","0"
"45","2013","-3.2","3.6","-11.1","-","-","70","28","22","1","0","0"
"46","2014","-3.2","3.9","-11.2","-","-","53","28","20","8","0","0"
"47","2015","-2.2","5.1","-10.3","-","-","49","24","9","1","0","1"
"48","2016","-3.0","3.5","-10.2","-","-","57","36","12","6","0","0"
"49","2017","-2.0","5.2","-9.7","-","-","45","20","19","2","0","0"
"50","2018","-2.8","4.2","-10.5","-","-","51","31","11","5","0","0"
"51","2019","-","-","-","-","-","-","-","-","-","-","-"
