"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1944","-","-","-","-","-","-","-","-","-","-","-"
"2","1945","28.0","30.5","26.2","-","24.0","240","0","3","0","0","0"
"3","1946","-","-","-","-","-","-","-","-","-","-","-"
"4","1947","-","-","-","-","-","-","-","-","-","-","-"
"5","1948","27.9","31.1","25.7","-","20.9","200","0","0","0","0","0"
"6","1949","27.6","30.7","25.6","-","22.2","211","0","5","0","0","0"
"7","1950","27.7","30.8","25.6","-","17.3","229","0","5","0","0","0"
"8","1951","28.0","31.2","25.9","-","20.7","225","0","8","0","0","0"
"9","1952","-","-","-","-","-","-","-","-","-","-","-"
"10","1973","27.5","29.7","25.8","-","22.2","252","10","104","0","0","0"
"11","1974","27.5","29.6","25.7","-","19.3","253","8","128","2","0","0"
"12","1975","27.4","29.4","25.5","3984.29","21.0","232","2","45","3","0","2"
"13","1976","27.4","29.7","25.1","2640.09","19.4","261","0","14","0","0","4"
"14","1977","28.0","30.4","25.4","2465.01","20.2","221","0","16","0","0","0"
"15","1978","28.1","30.4","25.0","2725.39","20.2","236","0","8","0","0","2"
"16","1979","28.2","30.7","25.0","2670.78","21.9","241","1","5","1","1","0"
"17","1980","28.3","30.9","24.9","3296.12","19.6","239","0","12","1","1","1"
"18","1981","28.1","30.9","25.1","2225.82","18.8","240","0","12","0","0","1"
"19","1982","27.8","30.6","24.7","2553.67","17.5","245","0","10","0","0","3"
"20","1983","27.8","30.8","24.7","2137.20","18.9","197","0","8","0","0","0"
"21","1984","28.0","30.9","24.9","1637.90","20.5","182","0","9","0","0","0"
"22","1985","27.8","30.6","24.9","2953.04","22.8","250","0","16","1","0","0"
"23","1986","27.9","30.6","25.0","3794.26","20.8","247","0","13","0","0","0"
"24","1987","28.0","30.6","25.3","2353.41","24.9","208","0","4","0","0","0"
"25","1988","28.2","30.7","25.1","2346.73","24.7","226","0","8","0","1","0"
"26","1989","28.1","30.7","25.1","2554.77","20.9","247","0","11","0","0","0"
"27","1990","28.3","30.8","25.4","2931.84","20.5","256","0","11","0","0","0"
"28","1991","28.1","30.4","25.2","3405.10","21.1","258","0","8","1","0","0"
"29","1992","27.9","30.4","25.3","2080.43","20.2","187","0","17","0","0","0"
"30","1993","27.9","30.1","25.7","2304.17","20.3","236","0","11","0","0","0"
"31","1994","27.9","30.3","25.7","2582.28","18.0","222","1","11","0","0","0"
"32","1995","27.7","30.0","25.4","2864.52","22.7","234","1","7","0","0","0"
"33","1996","-","-","-","-","-","-","-","-","-","-","-"
"34","1997","27.9","30.0","25.5","3244.54","20.4","251","0","12","1","1","0"
"35","1998","27.6","30.0","25.4","1841.58","23.1","221","0","12","0","0","0"
"36","1999","27.5","29.6","25.1","-","22.6","244","0","13","0","0","0"
"37","2000","27.7","29.8","25.1","2493.39","24.1","261","0","16","0","1","0"
"38","2001","-","-","-","-","-","-","-","-","-","-","-"
"39","2002","-","-","-","-","-","-","-","-","-","-","-"
"40","2003","28.4","30.7","25.6","2518.25","23.5","254","0","11","0","0","0"
"41","2004","28.6","31.0","25.8","2692.29","21.8","247","0","21","0","1","0"
"42","2005","-","-","-","-","-","-","-","-","-","-","-"
"43","2006","28.2","30.5","25.6","2748.10","18.3","263","0","23","0","1","0"
"44","2007","28.2","30.3","25.7","2301.16","19.4","251","0","7","0","1","0"
"45","2008","27.6","29.8","25.1","2149.52","23.3","228","0","14","0","2","0"
"46","2009","28.2","30.5","25.3","-","21.8","231","0","16","0","1","0"
"47","2010","28.1","30.3","26.3","-","23.7","270","0","6","0","0","0"
"48","2011","28.0","30.3","26.3","-","22.4","301","0","24","0","0","0"
"49","2012","28.2","30.5","26.5","-","22.2","265","0","16","0","0","0"
"50","2013","28.4","30.6","26.7","-","22.8","236","0","10","0","0","0"
"51","2014","28.3","30.7","26.6","-","20.4","284","0","18","0","0","0"
"52","2015","28.1","30.3","26.4","-","20.3","276","0","15","0","0","0"
"53","2016","28.3","30.7","26.5","-","21.5","256","0","15","0","0","0"
"54","2017","28.5","30.8","26.7","-","21.9","265","0","15","0","0","0"
"55","2018","28.2","30.3","26.5","-","18.7","290","0","17","0","0","0"
"56","2019","-","-","-","-","-","-","-","-","-","-","-"
