"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1965","-","-","-","-","-","-","-","-","-","-","-"
"2","1966","13.4","18.0","6.0","-","15.8","46","1","27","54","0","2"
"3","1967","12.6","17.0","5.9","-","15.4","49","26","29","66","0","2"
"4","1973","-","-","-","-","-","-","-","-","-","-","-"
"5","1974","-","-","-","-","-","-","-","-","-","-","-"
"6","1975","-","-","-","-","-","-","-","-","-","-","-"
"7","1976","-","-","-","-","-","-","-","-","-","-","-"
"8","1977","-","-","-","-","-","-","-","-","-","-","-"
"9","1978","-","-","-","-","-","-","-","-","-","-","-"
"10","1979","-","-","-","-","-","-","-","-","-","-","-"
"11","1980","-","-","-","-","-","-","-","-","-","-","-"
"12","1981","-","-","-","-","-","-","-","-","-","-","-"
"13","1983","-","-","-","-","-","-","-","-","-","-","-"
"14","2004","-","-","-","-","-","-","-","-","-","-","-"
"15","2006","-","-","-","-","-","-","-","-","-","-","-"
"16","2016","-","-","-","-","-","-","-","-","-","-","-"
