"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2004","-","-","-","-","-","-","-","-","-","-","-"
"2","2005","-","-","-","-","-","-","-","-","-","-","-"
"3","2006","-","-","-","-","-","-","-","-","-","-","-"
"4","2007","-","-","-","-","-","-","-","-","-","-","-"
"5","2008","-","-","-","-","-","-","-","-","-","-","-"
"6","2009","-","-","-","-","-","-","-","-","-","-","-"
"7","2010","-","-","-","-","-","-","-","-","-","-","-"
"8","2011","6.4","11.0","2.6","1376.62","15.4","0","0","0","0","0","0"
"9","2012","-","-","-","-","-","-","-","-","-","-","-"
"10","2013","7.0","11.8","3.4","978.54","16.0","0","0","0","0","0","0"
"11","2014","7.2","11.5","4.3","904.19","14.5","66","28","0","0","0","0"
"12","2015","6.7","10.8","2.8","811.26","14.4","98","0","0","46","0","0"
"13","2016","7.0","10.9","3.0","1261.58","15.7","90","0","0","87","0","0"
"14","2017","7.0","11.1","2.7","966.64","14.2","89","1","0","70","0","0"
"15","2018","7.2","11.4","2.9","856.21","14.6","83","1","0","57","0","0"
"16","2019","-","-","-","-","-","-","-","-","-","-","-"
