"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","9.2","12.0","6.3","755.71","22.6","248","21","30","47","0","31"
"3","1975","9.6","12.6","6.5","715.71","21.0","224","20","23","61","2","28"
"4","1976","9.5","12.7","6.4","727.45","19.5","217","36","24","53","1","27"
"5","1977","9.6","12.4","6.7","904.70","21.4","252","31","19","66","0","24"
"6","1978","9.3","12.0","6.5","1748.53","21.2","231","36","13","67","0","19"
"7","1979","8.3","11.1","5.2","816.12","21.1","230","44","27","63","0","21"
"8","1980","9.4","12.1","6.4","853.78","21.6","242","37","18","65","0","20"
"9","1981","9.4","12.1","6.5","817.69","21.7","259","57","34","82","0","40"
"10","1982","9.9","12.7","6.9","726.03","21.1","220","17","39","76","0","21"
"11","1983","10.0","12.6","7.1","772.73","21.7","238","23","25","55","1","25"
"12","1984","9.4","12.0","6.7","722.92","21.2","245","28","26","62","0","19"
"13","1985","8.4","11.2","5.5","761.83","21.4","252","50","21","91","0","20"
"14","1986","8.7","11.5","5.7","709.47","22.2","231","39","24","62","0","19"
"15","1987","8.6","11.3","5.7","731.03","20.0","254","33","28","84","1","21"
"16","1988","10.2","12.9","7.6","835.84","23.6","276","27","26","50","0","25"
"17","1989","10.7","13.7","7.5","628.20","20.3","218","10","16","42","0","9"
"18","1990","10.9","13.7","7.7","671.57","21.6","241","19","33","41","0","29"
"19","1991","9.6","12.3","6.7","668.52","21.3","226","19","19","63","1","22"
"20","1992","10.5","13.2","7.7","980.17","22.5","247","16","40","46","1","25"
"21","1993","9.4","12.0","6.6","959.43","21.3","245","22","22","49","0","17"
"22","1994","10.5","13.1","7.7","1513.90","22.2","237","14","32","46","0","16"
"23","1995","10.3","13.0","7.4","980.18","21.5","220","43","24","45","1","38"
"24","1996","8.3","11.1","5.4","1026.71","15.1","204","30","19","53","1","12"
"25","1997","10.0","12.8","7.1","749.83","10.5","229","6","18","65","2","4"
"26","1998","10.3","12.8","7.6","906.88","20.0","275","15","28","34","0","18"
"27","1999","11.0","13.7","8.1","971.21","21.0","258","25","30","40","0","27"
"28","2000","10.7","13.3","7.9","-","21.1","273","15","25","47","0","18"
"29","2001","10.5","13.0","7.5","-","19.7","250","37","20","58","0","26"
"30","2002","-","-","-","-","-","230","8","26","51","1","12"
"31","2003","10.6","13.8","7.2","705.83","18.7","196","22","14","57","1","5"
"32","2004","10.7","13.4","7.5","786.43","20.1","231","26","21","66","1","1"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","11.2","13.9","8.2","820.66","20.1","231","33","19","114","0","1"
"35","2007","11.3","14.0","8.2","740.92","20.9","247","25","14","114","0","2"
"36","2008","10.7","13.5","7.5","922.31","21.6","253","29","20","144","0","0"
"37","2009","10.6","13.5","7.2","599.11","19.7","246","28","14","70","0","0"
"38","2010","9.0","11.9","5.7","732.83","18.1","230","56","12","58","0","0"
"39","2011","10.7","13.7","7.5","760.71","20.3","233","12","21","73","0","0"
"40","2012","10.2","13.0","7.1","812.25","19.7","244","12","31","53","0","1"
"41","2013","9.7","12.6","6.7","595.57","20.1","210","32","17","46","0","3"
"42","2014","11.7","14.6","8.7","789.38","19.5","236","2","38","36","0","0"
"43","2015","10.9","13.7","7.8","854.44","21.1","246","55","23","34","0","3"
"44","2016","11.0","13.9","7.7","733.81","18.6","252","104","16","58","0","2"
"45","2017","11.1","14.0","7.8","796.53","19.3","246","21","20","52","0","3"
"46","2018","11.2","14.3","7.9","585.70","18.9","208","12","21","49","0","1"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
