"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1973,24.4,28.3,20.2,NA
1974,24.9,28.6,20.4,NA
1975,25.2,28.95,20.7,NA
1976,24.45,28.45,19.45,NA
1977,24.65,28.5,19.45,1015.26
1978,24.9,28.8,19.7,695.575
1979,25,28.8,19.75,907.27
1980,NA,NA,NA,NA
1981,24.7,28.8,18.6,435.91
1982,NA,NA,NA,NA
1983,25.3,29.2,20.1,1767.61
1984,24.8,28.8,19.8,1970.29
1985,25,28.85,19.95,1484.57
1986,25.25,29.2,19.95,1271.525
1987,25,29.2,20.4,1910.34
1988,24.9,29.3,20.5,1757.62
1989,25.3,29.8,20.7,1370.77
1990,25.6,30,21.4,1439.38
1991,25.6,29.9,21.3,2377.35
1992,25.2,29.4,20.5,1258.53
1993,25.5,29.6,20.8,1765.49
1994,25.55,29.4,20.9,1812.91
1995,25.1,29.5,20.9,2061.1
1996,24.75,28.85,20.05,1578.58
1997,25.1,29.4,21.3,1764.92
1998,NA,NA,NA,NA
1999,25.4,29.3,21.4,NA
2000,25.2,29.3,21.2,NA
2001,25.3,29.4,21.1,NA
2002,NA,NA,NA,NA
2003,26.45,29.85,21.95,1175.845
2004,NA,NA,NA,NA
2005,NA,NA,NA,NA
2006,25.55,28.8,21.5,1246.335
2007,25.5,28.5,21.2,1432.3
2008,25.85,29.25,21.85,1376.11
2009,25.8,29.2,21.75,1355.07
2010,25.7,29.6,22,1148.49
2011,26.25,29.4,22.6,1085.57
2012,25.8,29.15,21.95,1424.19
2013,25.6,28.75,22.1,1172.78
2014,25.9,30.1,22.4,907.29
2015,26.3,30.5,22.6,869.16
2016,26.15,29.6,22.05,1937.27
2017,26.6,30.05,22.3,1143.74
2018,26.2,29.75,21.9,1194.64
2019,NA,NA,NA,NA
