"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,184,0,7,1,0,0
1995,28.1,31.1,23.3,1586.92,11.5,153.5,0,14,0,0,0
1996,27.55,30.35,23.3,1656.11,14.65,182.5,0,16,0,0,0
1997,28,31.3,23.4,NA,10.3,186,1,18,0,0,0
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,27.75,30.65,23.35,NA,10.15,163.5,0.5,19,0,0,0
2000,27.5,30.3,23.45,NA,11.4,169,0,11,0.5,0,0
2001,28,31.4,23.2,1524.27,8.6,198,0,14,0,0,0
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,27.65,30.55,23.2,2144.26,8.95,197,0.5,24.5,0,0,0
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,28,31.2,23.25,2190.615,11.9,202,0,17,0,0.5,0
2007,28,31.05,22.7,2016.615,11.95,189.5,1,15.5,0,0,0.5
2008,27.35,30.15,22.9,2014.72,11.1,197,0,21.5,0,0,0.5
2009,27.2,30.45,22.9,2026.475,12.5,212,0,16.5,0,0,0.5
2010,27.65,31.15,23,2385.08,10.7,204,0,23,0.5,0,0
2011,27.15,30.7,22.9,3185.795,11.2,229,0,33.5,0.5,0,0
2012,27.7,30.9,23.1,1711.46,11.45,209.5,0,27,0.5,0,0
2013,27.65,30.9,23.1,2522.8,10.9,246,0,29.5,0,0,1
2014,27.6,30.65,23.3,1827.315,9.85,241,0,23,0,0.5,0
2015,28.3,32,23.3,1534.17,8.5,215,0,22.5,1,0,0
2016,28,31.25,23.3,2243.64,10.45,238,0.5,30,4.5,0,0.5
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,27.55,30.65,23.15,2277.705,12.55,237,0,14,0,0,0.5
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
