"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1976","-","-","-","-","-","-","-","-","-","-","-"
"2","1977","9.1","14.8","3.9","-","5.0","63","12","8","24","0","1"
"3","1978","9.2","14.5","3.8","-","4.9","88","16","15","34","1","1"
"4","1979","9.6","14.7","4.2","-","5.8","96","24","10","29","0","1"
"5","1980","8.1","13.6","2.5","-","6.8","82","27","9","30","0","2"
"6","1981","8.3","14.1","2.6","-","7.1","80","15","4","30","0","0"
"7","1982","9.5","15.4","3.6","-","7.0","66","20","12","29","2","0"
"8","1983","9.6","15.1","4.1","-","6.6","83","18","8","37","0","0"
"9","1984","8.7","14.3","3.3","-","6.7","76","23","3","22","0","0"
"10","1985","8.6","13.9","3.2","-","6.8","99","34","9","24","0","2"
"11","1986","8.6","14.2","3.0","-","7.6","92","20","10","27","0","0"
"12","1987","9.2","14.6","3.7","-","8.3","75","16","4","33","0","1"
"13","1988","9.4","15.1","3.6","-","9.1","60","16","3","36","0","0"
"14","1989","10.4","16.2","4.7","-","7.8","80","15","11","25","0","0"
"15","1990","10.2","15.3","5.2","-","7.2","89","16","2","25","0","1"
"16","1991","9.7","15.3","4.2","-","7.3","69","23","8","12","0","1"
"17","1992","9.7","15.0","4.5","-","7.0","80","23","7","34","0","1"
"18","1993","9.4","15.1","4.2","-","6.7","65","15","6","27","0","0"
"19","1994","10.3","16.0","5.0","-","7.7","76","13","21","20","0","1"
"20","1995","9.6","15.1","4.3","-","7.4","80","15","5","22","0","0"
"21","1996","9.3","14.9","4.0","-","7.5","71","16","9","22","0","1"
"22","1997","-","-","-","-","-","-","-","-","-","-","-"
"23","1998","-","-","-","-","-","-","-","-","-","-","-"
"24","1999","-","-","-","-","-","-","-","-","-","-","-"
"25","2000","-","-","-","-","-","-","-","-","-","-","-"
"26","2001","9.8","15.4","4.4","-","4.3","66","24","6","17","0","0"
"27","2002","-","-","-","-","-","-","-","-","-","-","-"
"28","2003","10.6","15.9","5.5","-","4.2","66","11","6","19","0","0"
"29","2004","-","-","-","-","-","-","-","-","-","-","-"
"30","2005","-","-","-","-","-","-","-","-","-","-","-"
"31","2006","-","-","-","-","-","-","-","-","-","-","-"
"32","2007","-","-","-","-","-","-","-","-","-","-","-"
"33","2008","-","-","-","-","-","69","11","3","27","0","0"
"34","2009","-","-","-","-","-","-","-","-","-","-","-"
"35","2010","-","-","-","-","-","-","-","-","-","-","-"
"36","2011","-","-","-","-","-","84","10","6","15","0","0"
"37","2012","9.6","14.6","4.3","-","5.6","75","23","2","14","1","1"
"38","2013","9.9","14.5","4.8","-","-","76","21","5","16","0","0"
"39","2014","10.9","16.5","5.3","-","-","62","9","7","10","0","2"
"40","2015","-","-","-","-","-","-","-","-","-","-","-"
"41","2016","10.8","15.8","5.5","-","-","67","11","2","28","0","0"
"42","2017","10.2","14.8","4.8","-","-","61","18","3","13","0","0"
"43","2018","10.1","14.9","4.8","-","-","56","11","1","17","0","1"
"44","2019","-","-","-","-","-","-","-","-","-","-","-"
