"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1944,NA,NA,NA,NA
1945,28,30.4,26.2,NA
1946,NA,NA,NA,NA
1958,NA,NA,NA,NA
1973,28.7,31.4,26.1,NA
1974,28,30,26,NA
1975,27.8,29.7,25.9,NA
1976,28,30.2,25.9,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,NA,NA,NA,NA
1980,NA,NA,NA,NA
1981,28.6,31.3,25.7,842.55
1982,NA,NA,NA,NA
1983,28.6,31.2,25.6,1745.05
1984,28.1,30.8,25.7,885.69
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,28.1,31.1,25.4,3157.43
1988,27.8,30.7,25.6,1239.34
1989,27.8,30.7,25.3,845.85
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,NA,NA,NA,NA
1995,NA,NA,NA,NA
1996,NA,NA,NA,NA
1997,NA,NA,NA,NA
1998,NA,NA,NA,NA
1999,27.5,28.4,26.5,0
2000,27.7,28.3,26.8,0
2001,28.3,29,27,0
2002,NA,NA,NA,NA
2003,NA,NA,NA,NA
2004,NA,NA,NA,NA
2005,NA,NA,NA,NA
2006,NA,NA,NA,NA
2007,NA,NA,NA,NA
2008,27.5,28.3,26.5,0
2009,28.35,30.25,26.25,1029.185
2010,NA,NA,NA,NA
2011,NA,NA,NA,NA
2012,NA,NA,NA,NA
2013,28.5,31.1,26.4,NA
2014,28.6,31.4,26.2,NA
2015,28.6,31.25,25.85,2434.35
2016,28.85,31.8,26.1,2372.35
2017,28.75,31.45,25.7,859.39
2018,28.8,31.4,25.4,NA
2019,NA,NA,NA,NA
