"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","-","-","-","-","-","-","-","-","-","-","-"
"7","1979","-","-","-","-","-","-","-","-","-","-","-"
"8","1980","-","-","-","-","-","-","-","-","-","-","-"
"9","1981","-","-","-","-","-","-","-","-","-","-","-"
"10","1989","-","-","-","-","-","-","-","-","-","-","-"
"11","1998","-","-","-","-","-","-","-","-","-","-","-"
"12","1999","-","-","-","-","-","-","-","-","-","-","-"
"13","2000","-","-","-","-","-","-","-","-","-","-","-"
"14","2001","-","-","-","-","-","-","-","-","-","-","-"
"15","2002","-","-","-","-","-","-","-","-","-","-","-"
"16","2003","-","-","-","-","-","-","-","-","-","-","-"
"17","2004","-","-","-","-","-","-","-","-","-","-","-"
"18","2005","-","-","-","-","-","-","-","-","-","-","-"
"19","2006","-","-","-","-","-","-","-","-","-","-","-"
"20","2007","-","-","-","-","-","-","-","-","-","-","-"
"21","2008","-","-","-","-","-","-","-","-","-","-","-"
"22","2009","23.9","30.5","17.3","557.76","2.8","64","0","43","25","0","2"
"23","2010","23.7","30.3","17.4","991.60","3.7","81","0","70","49","0","0"
"24","2011","23.2","29.4","17.0","830.09","3.3","86","0","78","37","0","1"
"25","2012","23.1","29.5","16.5","747.79","3.8","86","0","78","36","0","0"
"26","2013","23.1","29.1","17.0","1734.83","5.5","98","0","106","72","0","5"
"27","2014","22.3","28.1","16.9","-","1.4","67","0","37","42","0","2"
"28","2015","22.5","28.2","17.4","-","1.0","82","0","51","31","0","6"
"29","2016","23.5","29.5","18.1","-","1.2","63","0","59","22","0","1"
"30","2017","23.2","29.0","17.9","-","1.7","69","0","60","26","0","4"
"31","2018","-","-","-","-","-","82","0","44","19","0","1"
"32","2019","-","-","-","-","-","-","-","-","-","-","-"
