"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1942","-","-","-","-","-","-","-","-","-","-","-"
"2","1943","26.6","31.0","23.5","-","7.5","198","0","35","70","0","0"
"3","1944","26.3","30.7","23.2","-","12.3","174","0","48","118","0","0"
"4","1945","-","-","-","-","-","-","-","-","-","-","-"
"5","1948","26.5","31.1","22.3","-","10.3","96","0","5","21","0","0"
"6","1949","26.5","31.0","22.5","-","12.4","70","0","11","12","0","0"
"7","1950","26.7","31.3","22.5","1214.05","10.0","21","0","3","23","0","0"
"8","1951","26.6","31.2","22.2","-","11.4","57","0","37","19","0","0"
"9","1952","26.7","31.2","22.6","-","10.0","118","0","104","36","0","0"
"10","1953","26.5","31.2","22.0","-","11.8","108","0","36","17","0","0"
"11","1954","26.7","31.3","22.6","-","11.2","63","0","18","20","0","0"
"12","1955","26.9","31.6","22.5","-","10.0","98","0","64","38","0","0"
"13","1956","27.0","31.8","22.4","-","9.8","114","0","76","32","0","0"
"14","1957","26.5","31.3","22.1","-","11.3","94","0","44","15","0","0"
"15","1973","-","-","-","-","-","-","-","-","-","-","-"
"16","1974","-","-","-","-","-","-","-","-","-","-","-"
"17","1975","-","-","-","-","-","-","-","-","-","-","-"
"18","1976","-","-","-","-","-","-","-","-","-","-","-"
"19","1977","-","-","-","-","-","-","-","-","-","-","-"
"20","1978","-","-","-","-","-","-","-","-","-","-","-"
"21","1979","-","-","-","-","-","-","-","-","-","-","-"
"22","1980","-","-","-","-","-","-","-","-","-","-","-"
"23","1981","-","-","-","-","-","-","-","-","-","-","-"
"24","1982","-","-","-","-","-","-","-","-","-","-","-"
"25","1983","-","-","-","-","-","-","-","-","-","-","-"
"26","1984","-","-","-","-","-","-","-","-","-","-","-"
"27","1985","-","-","-","-","-","-","-","-","-","-","-"
"28","1986","-","-","-","-","-","-","-","-","-","-","-"
"29","1987","-","-","-","-","-","-","-","-","-","-","-"
"30","1988","-","-","-","-","-","-","-","-","-","-","-"
"31","1989","26.5","29.9","23.6","1527.32","5.2","92","0","52","52","0","0"
"32","1990","26.4","29.9","23.5","1299.46","6.4","114","0","38","43","0","0"
"33","1991","26.3","29.8","23.4","1025.50","6.2","112","0","22","25","0","0"
"34","1992","26.7","30.5","23.5","672.64","5.6","97","0","38","13","0","0"
"35","1993","26.3","30.1","23.2","717.82","7.1","74","0","28","11","0","0"
"36","1994","-","-","-","-","-","-","-","-","-","-","-"
"37","1995","-","-","-","-","-","-","-","-","-","-","-"
"38","1996","26.6","30.1","23.8","1220.30","13.1","113","0","55","23","0","0"
