"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1945","-","-","-","-","-","-","-","-","-","-","-"
"2","1949","-","-","-","-","-","-","-","-","-","-","-"
"3","1950","-","-","-","-","-","-","-","-","-","-","-"
"4","1951","-","-","-","-","-","-","-","-","-","-","-"
"5","1952","-","-","-","-","-","-","-","-","-","-","-"
"6","1953","-","-","-","-","-","-","-","-","-","-","-"
"7","1954","-","-","-","-","-","-","-","-","-","-","-"
"8","1955","-","-","-","-","-","-","-","-","-","-","-"
"9","1959","27.8","31.7","25.2","-","8.2","45","0","18","60","0","0"
"10","1960","27.6","31.4","24.8","-","9.7","79","0","19","14","0","0"
"11","1961","27.3","31.2","24.2","-","10.4","54","0","31","3","0","0"
"12","1962","27.4","31.7","24.1","-","10.2","79","0","54","1","0","0"
"13","1963","27.1","31.3","24.0","-","10.3","76","0","41","0","0","0"
"14","1973","-","-","-","-","-","-","-","-","-","-","-"
"15","1974","-","-","-","-","-","-","-","-","-","-","-"
"16","1975","-","-","-","-","-","-","-","-","-","-","-"
"17","1976","-","-","-","-","-","-","-","-","-","-","-"
"18","1977","-","-","-","-","-","-","-","-","-","-","-"
"19","1978","-","-","-","-","-","-","-","-","-","-","-"
"20","1979","-","-","-","-","-","-","-","-","-","-","-"
"21","1980","-","-","-","-","-","-","-","-","-","-","-"
"22","1981","-","-","-","-","-","-","-","-","-","-","-"
"23","1982","-","-","-","-","-","-","-","-","-","-","-"
"24","1983","-","-","-","-","-","-","-","-","-","-","-"
"25","1984","-","-","-","-","-","-","-","-","-","-","-"
"26","1985","-","-","-","-","-","-","-","-","-","-","-"
"27","1986","27.6","31.8","23.3","-","-","92","0","47","1","1","1"
"28","1987","-","-","-","-","-","-","-","-","-","-","-"
"29","1988","-","-","-","-","-","-","-","-","-","-","-"
"30","1989","-","-","-","-","-","-","-","-","-","-","-"
"31","1990","27.5","32.4","23.5","2833.66","7.3","92","0","37","2","0","0"
"32","1991","27.5","32.0","23.5","2013.70","9.4","87","0","31","1","0","0"
"33","1992","27.2","32.1","23.3","2408.15","10.8","83","0","48","0","1","0"
"34","1993","27.6","32.1","23.7","1910.35","12.1","88","0","43","1","1","0"
"35","1994","27.9","31.9","24.0","1783.14","11.2","88","0","50","1","0","0"
"36","1995","-","-","-","-","-","-","-","-","-","-","-"
"37","1996","-","-","-","-","-","-","-","-","-","-","-"
"38","1997","-","-","-","-","-","-","-","-","-","-","-"
"39","1998","-","-","-","-","-","-","-","-","-","-","-"
"40","1999","-","-","-","-","-","-","-","-","-","-","-"
"41","2000","-","-","-","-","-","-","-","-","-","-","-"
"42","2001","-","-","-","-","-","-","-","-","-","-","-"
"43","2002","-","-","-","-","-","-","-","-","-","-","-"
"44","2003","-","-","-","-","-","-","-","-","-","-","-"
"45","2004","27.2","30.9","23.3","2665.71","8.7","92","1","17","1","0","0"
"46","2005","-","-","-","-","-","-","-","-","-","-","-"
"47","2006","27.7","32.2","23.1","-","8.8","103","0","21","1","0","1"
"48","2007","27.6","32.1","22.8","-","9.1","95","0","20","1","0","0"
"49","2008","27.4","32.1","22.9","1793.82","9.4","99","0","20","0","1","0"
"50","2009","27.3","31.9","22.7","3107.46","9.4","112","0","26","0","0","0"
"51","2010","28.0","32.8","23.4","2118.63","9.1","86","0","29","0","0","0"
"52","2011","27.3","31.5","23.3","2859.30","9.2","95","0","28","0","0","0"
"53","2012","27.8","32.3","23.6","3041.14","8.4","106","0","27","0","0","0"
"54","2013","28.0","32.7","23.8","2515.89","8.6","98","0","23","0","0","0"
"55","2014","27.6","32.4","23.5","3352.37","8.3","78","0","36","0","0","1"
"56","2015","27.9","32.5","23.7","2742.19","8.9","78","0","36","1","0","0"
"57","2016","28.1","32.6","24.3","2760.93","7.9","96","0","45","0","0","2"
"58","2017","28.0","32.8","24.2","2307.88","7.0","90","1","43","0","0","0"
"59","2018","27.9","32.5","23.8","3198.93","8.0","99","0","41","0","0","0"
"60","2019","-","-","-","-","-","-","-","-","-","-","-"
