"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1987","-","-","-","-","-","-","-","-","-","-","-"
"2","1988","-","-","-","-","-","-","-","-","-","-","-"
"3","1989","-","-","-","-","-","-","-","-","-","-","-"
"4","1990","-","-","-","-","-","-","-","-","-","-","-"
"5","1991","-","-","-","-","-","-","-","-","-","-","-"
"6","1992","-","-","-","-","-","-","-","-","-","-","-"
"7","2001","-","-","-","-","-","-","-","-","-","-","-"
"8","2002","-","-","-","-","-","-","-","-","-","-","-"
"9","2003","7.9","12.2","3.2","-","11.3","159","44","16","110","0","0"
"10","2004","-","-","-","-","-","-","-","-","-","-","-"
"11","2005","-","-","-","-","-","-","-","-","-","-","-"
"12","2006","8.6","12.8","4.0","-","10.5","167","45","21","119","0","2"
"13","2007","9.1","13.0","4.8","-","11.8","201","35","20","110","0","1"
"14","2008","-","-","-","-","-","-","-","-","-","-","-"
"15","2009","8.1","12.0","3.7","-","10.9","173","51","25","113","0","2"
"16","2010","6.8","10.6","2.4","-","11.0","143","85","10","87","0","2"
"17","2011","-","-","-","-","-","-","-","-","-","-","-"
"18","2012","8.0","12.0","3.6","-","11.5","165","63","27","94","0","1"
"19","2013","-","-","-","-","-","-","-","-","-","-","-"
"20","2014","9.5","13.8","5.0","-","11.2","165","18","30","82","0","0"
"21","2015","-","-","-","-","-","-","-","-","-","-","-"
"22","2016","8.8","13.1","4.2","-","9.6","172","33","24","87","0","2"
"23","2017","8.4","12.1","4.5","-","10.2","196","33","19","65","0","0"
"24","2018","-","-","-","-","-","-","-","-","-","-","-"
"25","2019","-","-","-","-","-","-","-","-","-","-","-"
