"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1985","-","-","-","-","-","-","-","-","-","-","-"
"2","1986","-","-","-","-","-","-","-","-","-","-","-"
"3","1987","-","-","-","-","-","-","-","-","-","-","-"
"4","1988","11.5","15.5","6.6","353.25","-","68","19","13","51","0","0"
"5","1989","-","-","-","-","-","-","-","-","-","-","-"
"6","1990","-","-","-","-","-","-","-","-","-","-","-"
"7","1991","-","-","-","-","-","-","-","-","-","-","-"
"8","1992","-","-","-","-","-","-","-","-","-","-","-"
"9","1993","-","-","-","-","-","-","-","-","-","-","-"
"10","1994","-","-","-","-","-","-","-","-","-","-","-"
"11","1995","-","-","-","-","-","-","-","-","-","-","-"
"12","1997","10.1","15.3","6.1","363.00","10.6","98","25","35","49","1","3"
"13","1998","-","-","-","-","-","-","-","-","-","-","-"
"14","1999","-","-","-","-","-","-","-","-","-","-","-"
"15","2000","-","-","-","-","-","-","-","-","-","-","-"
"16","2001","-","-","-","-","-","-","-","-","-","-","-"
"17","2002","-","-","-","-","-","-","-","-","-","-","-"
"18","2012","-","-","-","-","-","-","-","-","-","-","-"
"19","2014","-","-","-","-","-","-","-","-","-","-","-"
"20","2015","13.7","19.2","9.1","415.78","-","49","6","6","23","0","0"
"21","2016","13.0","18.5","8.2","402.28","10.3","39","11","5","9","0","0"
"22","2017","12.5","18.1","7.8","727.96","10.7","25","6","3","12","0","0"
"23","2018","12.8","18.5","8.2","-","10.5","47","17","17","22","0","0"
"24","2019","-","-","-","-","-","-","-","-","-","-","-"
