"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1959","-","-","-","-","-","-","-","-","-","-","-"
"2","1963","-","-","-","-","-","-","-","-","-","-","-"
"3","1974","-","-","-","-","-","-","-","-","-","-","-"
"4","1975","-","-","-","-","-","-","-","-","-","-","-"
"5","1976","-","-","-","-","-","-","-","-","-","-","-"
"6","1977","-","-","-","-","-","-","-","-","-","-","-"
"7","1985","-","-","-","-","-","-","-","-","-","-","-"
"8","1986","-","-","-","-","-","-","-","-","-","-","-"
"9","1987","-","-","-","-","-","-","-","-","-","-","-"
"10","1988","-","-","-","-","-","-","-","-","-","-","-"
"11","1989","-","-","-","-","-","-","-","-","-","-","-"
"12","1990","-","-","-","-","-","-","-","-","-","-","-"
"13","1991","-","-","-","-","-","-","-","-","-","-","-"
"14","1992","-","-","-","-","-","-","-","-","-","-","-"
"15","1993","-","-","-","-","-","-","-","-","-","-","-"
"16","2011","-","-","-","-","-","-","-","-","-","-","-"
"17","2012","4.6","9.0","-0.3","-","-","72","60","12","28","0","0"
"18","2013","4.3","8.2","-0.4","-","-","88","85","19","44","0","0"
"19","2014","2.8","6.3","-2.1","-","12.7","55","89","8","33","0","0"
"20","2015","4.1","8.1","-0.5","536.67","13.2","67","92","10","37","0","0"
"21","2016","4.2","8.4","-0.6","506.37","11.8","62","85","17","39","0","1"
"22","2017","3.4","7.3","-1.0","612.42","12.7","65","75","12","28","0","0"
"23","2018","3.0","7.4","-2.0","432.53","-","62","67","13","25","0","1"
"24","2019","-","-","-","-","-","-","-","-","-","-","-"
