"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1983","-","-","-","-","-","-","-","-","-","-","-"
"2","1984","-","-","-","-","-","-","-","-","-","-","-"
"3","1985","27.4","35.5","18.8","0.00","12.1","6","0","4","0","0","1"
"4","1986","27.9","35.4","19.9","0.00","12.3","7","0","1","0","0","0"
"5","1987","28.4","35.8","20.3","10.92","11.3","6","0","0","0","0","0"
"6","1988","29.3","35.3","20.4","-","15.2","9","0","2","0","0","0"
"7","1989","28.0","34.7","19.4","0.00","15.2","12","0","0","0","0","0"
"8","1990","29.2","35.7","19.4","0.00","-","4","0","1","0","0","0"
"9","1991","29.6","36.2","19.8","-","-","2","0","1","0","0","0"
"10","1992","28.9","35.0","18.6","0.00","14.2","14","1","5","0","0","1"
"11","1993","28.5","35.5","17.5","0.00","14.5","13","0","3","0","0","0"
"12","1994","30.1","36.2","19.1","0.00","16.1","0","0","0","1","0","0"
"13","1995","28.9","35.8","18.1","117.35","15.0","3","0","2","0","0","0"
"14","1996","28.3","35.9","18.1","2.03","10.4","3","1","4","0","0","0"
"15","1997","28.6","36.5","18.1","0.00","11.2","7","0","3","0","0","0"
"16","1998","29.2","36.9","19.8","0.00","12.5","7","0","3","0","0","0"
"17","1999","29.0","36.6","20.0","0.00","12.7","1","1","1","0","0","0"
"18","2000","29.2","36.5","19.9","0.00","12.3","2","0","0","0","0","0"
"19","2001","29.1","36.5","19.8","0.00","10.7","4","0","2","0","0","0"
"20","2002","-","-","-","-","-","5","0","0","0","0","0"
"21","2003","28.8","36.4","19.8","59.94","9.1","9","0","7","0","0","1"
"22","2004","28.3","36.1","19.0","59.94","6.7","8","0","5","0","0","0"
"23","2005","-","-","-","-","-","-","-","-","-","-","-"
"24","2006","28.9","36.4","19.9","17.02","11.6","6","0","3","0","0","0"
"25","2007","28.9","36.2","20.0","24.90","11.2","8","0","3","0","0","0"
"26","2008","28.3","35.9","19.0","34.03","12.2","6","0","3","1","0","0"
"27","2009","29.3","36.9","20.4","7.11","12.7","1","0","3","0","0","0"
"28","2010","29.2","36.8","20.4","30.99","10.8","6","0","3","0","0","0"
"29","2011","28.9","36.5","20.3","37.85","11.5","7","0","4","0","0","0"
"30","2012","29.3","36.8","20.7","59.70","12.8","2","0","1","0","0","0"
"31","2013","28.3","35.5","19.9","87.13","12.6","11","0","12","0","0","0"
"32","2014","28.8","36.3","20.2","70.36","13.3","3","0","3","0","0","0"
"33","2015","29.3","36.5","20.7","28.96","12.9","9","0","2","2","0","0"
"34","2016","29.2","36.4","20.7","47.75","13.5","9","0","8","0","0","0"
"35","2017","29.0","35.5","20.4","58.16","13.1","11","0","10","0","0","0"
"36","2018","29.2","36.4","20.5","-","13.0","8","0","5","0","0","0"
"37","2019","-","-","-","-","-","-","-","-","-","-","-"
