"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2001","-","-","-","-","-","-","-","-","-","-","-"
"2","2002","-","-","-","-","-","-","-","-","-","-","-"
"3","2003","-","-","-","-","-","-","-","-","-","-","-"
"4","2005","-","-","-","-","-","-","-","-","-","-","-"
"5","2006","-","-","-","-","-","-","-","-","-","-","-"
"6","2007","-","-","-","-","-","-","-","-","-","-","-"
"7","2014","-","-","-","-","-","-","-","-","-","-","-"
"8","2015","-","-","-","-","-","-","-","-","-","-","-"
"9","2016","-","-","-","-","-","-","-","-","-","-","-"
"10","2017","27.5","29.0","25.7","0.00","12.6","0","0","0","0","0","0"
"11","2018","-","-","-","-","-","-","-","-","-","-","-"
