"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1962","-","-","-","-","-","-","-","-","-","-","-"
"2","1963","-","-","-","-","-","-","-","-","-","-","-"
"3","1964","-","-","-","-","-","-","-","-","-","-","-"
"4","1965","-","-","-","-","-","-","-","-","-","-","-"
"5","1981","-","-","-","-","-","-","-","-","-","-","-"
"6","1982","27.3","30.6","25.1","1476.54","9.3","182","0","139","1","0","0"
"7","1983","27.6","31.0","25.2","1919.24","9.2","204","0","139","0","0","0"
"8","1984","26.7","30.1","24.3","2618.47","7.9","255","0","188","4","2","1"
"9","1985","27.1","30.6","24.6","1943.92","8.0","233","0","176","1","2","1"
"10","1986","27.1","30.6","24.4","2314.97","9.1","219","0","155","0","0","1"
"11","1987","27.3","31.4","24.5","1825.04","9.0","219","1","150","0","3","0"
"12","1988","27.2","31.2","24.3","2579.68","8.4","227","0","142","1","0","0"
"13","1989","26.9","31.0","24.0","-","8.5","230","0","166","4","1","0"
"14","1990","27.6","31.6","24.5","1869.45","8.2","219","0","154","0","1","0"
"15","1991","27.4","31.3","24.5","1787.41","8.8","219","1","130","1","1","2"
"16","1992","27.3","31.1","24.2","6642.91","7.9","236","0","174","0","2","0"
"17","1993","27.5","31.1","24.4","2231.17","7.7","234","0","178","0","1","0"
"18","1994","27.6","31.4","24.6","2035.08","8.4","201","0","143","2","2","0"
"19","1995","27.6","31.4","24.5","2601.02","6.8","238","0","167","1","1","0"
"20","1996","27.6","31.4","24.3","2471.18","7.1","227","1","182","2","2","0"
"21","1997","28.3","32.4","25.1","1160.56","8.6","169","0","150","1","1","1"
"22","1998","28.4","32.1","25.0","2710.40","6.7","230","0","176","0","0","0"
"23","1999","27.6","31.3","24.4","-","6.4","221","0","192","0","2","0"
"24","2000","27.5","31.2","24.4","-","6.0","237","0","192","0","1","0"
"25","2001","27.6","31.2","24.6","-","6.8","225","0","181","0","0","0"
"26","2002","-","-","-","-","-","175","0","142","0","0","0"
"27","2003","27.8","31.4","24.8","2433.81","6.7","234","0","166","0","1","0"
"28","2004","27.9","31.7","24.8","2103.38","7.3","190","0","148","0","1","0"
"29","2005","-","-","-","-","-","-","-","-","-","-","-"
"30","2006","27.8","31.5","24.8","2758.19","6.7","216","0","162","0","0","0"
"31","2007","27.6","31.2","24.5","2644.92","5.9","229","0","175","0","0","0"
"32","2008","27.5","31.2","24.4","2307.81","6.7","227","0","164","0","0","0"
"33","2009","28.0","31.8","24.7","1925.01","7.5","209","0","173","0","0","0"
"34","2010","28.2","32.0","24.6","2043.73","7.6","233","0","179","0","3","0"
"35","2011","27.6","31.2","24.3","2525.98","8.9","235","0","177","0","1","0"
"36","2012","27.6","31.2","24.4","2029.93","8.1","239","0","190","0","0","0"
"37","2013","27.7","31.3","24.6","2771.18","7.7","244","0","187","0","0","0"
"38","2014","28.0","31.6","24.8","1552.67","9.0","189","0","135","0","0","0"
"39","2015","28.3","31.9","25.4","1262.36","10.1","175","0","115","0","2","0"
"40","2016","28.5","32.0","25.3","1962.61","8.4","240","0","152","0","0","0"
"41","2017","27.8","31.0","24.9","-","8.5","243","0","166","0","2","0"
"42","2018","28.0","31.3","25.0","1663.21","8.9","218","0","155","0","0","0"
"43","2019","-","-","-","-","-","-","-","-","-","-","-"
