"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1942","6.2","10.2","1.1","568.04","10.0","118","60","12","56","0","1"
"2","1943","-","-","-","-","-","101","49","9","33","0","2"
"3","1944","-","-","-","-","-","-","-","-","-","-","-"
"4","1988","-","-","-","-","-","-","-","-","-","-","-"
"5","1989","7.5","12.5","3.0","563.63","7.6","164","34","20","60","0","2"
"6","1990","7.5","12.8","2.5","533.97","7.9","156","55","18","52","0","0"
"7","1991","6.5","11.4","2.0","409.16","8.3","159","49","11","47","0","0"
"8","1992","7.7","12.3","3.4","704.17","7.9","165","51","24","35","0","0"
"9","1993","7.0","11.7","2.4","665.01","7.9","148","50","27","26","0","1"
"10","1994","8.1","13.1","3.5","738.70","7.2","182","55","22","38","0","1"
"11","1995","-","-","-","-","-","176","71","14","50","0","1"
"12","1996","5.5","9.9","1.4","542.90","7.0","156","77","19","34","0","0"
"13","1997","6.8","11.9","1.9","437.69","6.6","154","53","15","31","0","1"
"14","1998","7.4","12.0","2.9","670.02","6.4","193","56","11","20","0","2"
"15","1999","-","-","-","-","-","-","-","-","-","-","-"
