"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1996","-","-","-","-","-","-","-","-","-","-","-"
"2","1997","-","-","-","-","-","-","-","-","-","-","-"
"3","1998","-","-","-","-","-","-","-","-","-","-","-"
"4","2000","-","-","-","-","-","-","-","-","-","-","-"
"5","2001","-","-","-","-","-","-","-","-","-","-","-"
"6","2003","-","-","-","-","-","-","-","-","-","-","-"
"7","2004","-","-","-","-","-","-","-","-","-","-","-"
"8","2012","-","-","-","-","-","-","-","-","-","-","-"
"9","2013","-","-","-","-","-","-","-","-","-","-","-"
"10","2014","-","-","-","-","-","-","-","-","-","-","-"
"11","2015","-","-","-","-","-","-","-","-","-","-","-"
"12","2016","-","-","-","-","-","158","10","15","146","0","0"
"13","2017","12.0","18.2","5.7","-","4.4","165","27","14","132","0","0"
"14","2018","12.8","18.3","7.1","1190.50","-","179","39","21","167","0","0"
"15","2019","-","-","-","-","-","-","-","-","-","-","-"
