"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1941,NA,NA,NA,NA
1942,NA,NA,NA,NA
1943,26.9,29.6,24.4,NA
1944,21.3,24.45,17.45,NA
1945,NA,NA,NA,NA
1958,NA,NA,NA,NA
1959,NA,NA,NA,NA
1960,NA,NA,NA,NA
1961,24.6666666666667,31.0666666666667,18.9,NA
1962,21.7,28.3,16.4666666666667,NA
1963,20,27.2333333333333,14.1,NA
1964,24.5333333333333,31.1333333333333,19.1,NA
1965,19.55,25.725,12.725,NA
1966,NA,NA,NA,NA
1967,22.675,28.4,18.1,NA
1968,22.7,28.1,18.525,NA
1969,23.44,28.58,19,NA
1970,NA,NA,NA,NA
1971,NA,NA,NA,NA
1973,23.2,27.0333333333333,16.7,780.61
1974,22.34,26.66,18.34,1515.63
1975,20.8333333333333,25.1666666666667,12.85,NA
1976,24.375,29.375,20.025,NA
1977,24.9666666666667,29.8444444444444,20.7777777777778,1155.355
1978,24.525,29.4125,20.1125,1654.06571428571
1979,24.1857142857143,28.9142857142857,19.9285714285714,1294.464
1980,23.84,28.46,19.8,1830.082
1981,23.3666666666667,28.0666666666667,18.15,1678.598
1982,13.2,19.1,7.9,NA
1983,NA,NA,NA,NA
1984,22.525,26.95,18.8,NA
1985,23.6375,27.7875,19.45,NA
1986,24.3666666666667,28.2666666666667,20.6,307.83
1987,23.65,27.625,19.85,NA
1988,20.325,25,16.175,NA
1989,22.3142857142857,26.6285714285714,18.2714285714286,NA
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,13.4,19.7,8.1,NA
1994,13.4,19.9,7.9,NA
1995,21.76,27.02,17.5,1365.954
1996,22.4666666666667,27.4833333333333,18.7833333333333,1086.00166666667
1997,24.18,29.16,20.5,602.3
1998,27.7,32.6,24.7,917.75
1999,22.0666666666667,27.2666666666667,18.3,NA
2000,22.725,27.3875,19.175,NA
2001,22.9875,27.875,19.2625,NA
2002,NA,NA,NA,NA
2003,23.6142857142857,28.5285714285714,19.9142857142857,960.466666666667
2004,22.7833333333333,27.3,19.3666666666667,NA
2005,NA,NA,NA,NA
2006,24.0125,28.5125,20.4,NA
2007,23.05,28.175,19.25,NA
2008,22.825,27.3,19.475,NA
2009,23.79,27.77,20.37,NA
2010,23.8,28.55,20.1,NA
2011,24.15,29,20.2666666666667,NA
2012,24.916,29.544,20.176,3570.89
2013,24.9571428571429,29.6,20.4285714285714,2075.03666666667
2014,23.82,28.8,20.08,NA
2015,25.9407407407407,30.3296296296296,21.0384615384615,946.338571428571
2016,25.7740740740741,29.8037037037037,21.1444444444444,1638.03666666667
2017,25.1576923076923,29.2692307692308,20.5653846153846,843.54
2018,23.52,28.3,19.75,NA
2019,NA,NA,NA,NA
