"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","13.7","19.3","8.7","-","6.3","97","3","6","186","0","0"
"2","1974","12.6","18.1","7.8","-","5.5","104","8","4","119","0","0"
"3","1975","13.5","18.8","9.0","-","7.4","107","9","18","111","1","0"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","13.6","19.2","8.7","-","6.9","109","3","13","33","0","2"
"6","1978","13.9","20.0","8.4","-","7.1","102","9","10","39","0","1"
"7","1979","-","-","-","-","-","-","-","-","-","-","-"
"8","1980","12.1","17.7","7.3","-","8.0","134","10","13","39","1","4"
"9","1981","12.5","18.8","7.0","-","7.6","102","9","10","14","0","0"
"10","1982","13.2","19.3","7.9","-","6.1","102","5","19","16","0","2"
"11","1983","-","-","-","-","-","-","-","-","-","-","-"
"12","1984","12.7","18.7","7.4","-","5.3","91","6","8","7","0","1"
"13","1985","-","-","-","-","-","-","-","-","-","-","-"
"14","1986","12.6","18.5","7.7","-","4.9","84","3","5","22","0","0"
"15","1987","13.1","18.9","8.0","-","5.9","108","7","2","15","0","0"
"16","1988","12.9","19.0","7.4","-","5.1","99","5","7","5","0","0"
"17","1989","-","-","-","-","-","-","-","-","-","-","-"
"18","1990","14.3","19.6","9.3","-","6.2","104","4","7","34","0","0"
"19","1991","-","-","-","-","-","-","-","-","-","-","-"
"20","1992","-","-","-","-","-","-","-","-","-","-","-"
"21","1993","-","-","-","-","-","-","-","-","-","-","-"
"22","1995","13.1","18.9","7.1","-","8.7","99","2","18","35","0","0"
"23","1996","13.1","18.8","7.5","-","8.5","95","6","7","30","0","0"
"24","1997","13.9","19.8","8.2","-","8.6","107","5","21","35","0","0"
"25","1998","14.6","19.6","9.3","-","9.0","118","6","21","29","0","0"
"26","1999","13.6","19.0","8.2","-","8.4","102","2","12","29","0","0"
"27","2000","-","-","-","-","-","-","-","-","-","-","-"
"28","2001","-","-","-","-","-","-","-","-","-","-","-"
"29","2002","-","-","-","-","-","-","-","-","-","-","-"
"30","2004","-","-","-","-","-","-","-","-","-","-","-"
"31","2005","-","-","-","-","-","-","-","-","-","-","-"
"32","2007","-","-","-","-","-","-","-","-","-","-","-"
"33","2008","-","-","-","-","-","-","-","-","-","-","-"
"34","2009","-","-","-","-","-","-","-","-","-","-","-"
"35","2010","-","-","-","-","-","-","-","-","-","-","-"
"36","2012","-","-","-","-","-","-","-","-","-","-","-"
"37","2013","-","-","-","-","-","-","-","-","-","-","-"
"38","2014","-","-","-","-","-","-","-","-","-","-","-"
"39","2016","-","-","-","-","-","-","-","-","-","-","-"
"40","2017","-","-","-","-","-","-","-","-","-","-","-"
"41","2018","-","-","-","-","-","-","-","-","-","-","-"
