"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","15.6","20.6","10.7","707.12","13.7","156","0","5","53","0","9"
"2","1974","13.8","17.4","10.1","998.27","16.1","177","0","6","51","0","5"
"3","1975","13.6","17.0","11.1","797.10","13.8","172","1","8","32","0","8"
"4","1976","13.5","17.1","10.8","876.34","13.2","152","1","7","45","0","8"
"5","1977","13.5","17.0","11.1","1189.24","14.1","197","1","8","25","0","10"
"6","1978","13.7","17.5","10.9","1207.52","13.8","193","2","7","32","0","9"
"7","1979","13.7","17.4","11.1","1303.21","13.7","194","4","10","33","0","9"
"8","1980","13.8","17.3","11.2","915.22","12.9","179","0","5","20","0","3"
"9","1981","14.1","17.6","11.6","821.72","11.9","164","2","9","51","0","6"
"10","1982","14.1","17.4","11.6","962.74","12.2","185","0","10","36","0","5"
"11","1983","14.0","17.5","11.6","912.44","11.9","178","2","12","38","0","9"
"12","1984","13.6","16.6","11.3","1242.40","12.8","185","1","8","33","0","5"
"13","1985","14.0","17.1","11.5","908.30","12.4","153","1","6","26","0","8"
"14","1986","13.5","16.7","11.2","1070.09","14.2","192","2","4","27","0","12"
"15","1987","14.4","17.6","12.0","1072.08","13.5","155","2","6","40","0","11"
"16","1988","14.3","17.6","11.9","825.74","14.2","168","0","7","19","0","5"
"17","1989","15.1","18.5","12.5","780.52","12.8","143","0","10","44","0","6"
"18","1990","14.8","18.0","12.3","943.12","13.5","148","0","11","33","0","5"
"19","1991","14.1","17.2","11.6","877.10","14.2","153","0","7","38","0","5"
"20","1992","14.1","17.2","11.6","744.22","13.4","149","2","5","34","0","1"
"21","1993","14.2","17.3","11.6","1115.85","13.8","150","0","8","25","0","5"
"22","1994","-","-","-","-","-","-","-","-","-","-","-"
"23","1995","15.2","18.6","12.4","1326.93","12.2","156","0","16","34","0","5"
"24","1996","14.3","17.6","11.9","966.75","12.1","163","2","10","37","0","6"
"25","1997","15.4","18.8","12.8","968.87","11.0","171","0","17","43","0","8"
"26","1998","14.9","18.1","12.5","781.95","10.8","156","2","6","21","0","7"
"27","1999","14.6","17.9","12.4","1235.11","11.1","164","1","7","36","1","5"
"28","2000","14.5","17.8","12.1","1293.34","10.4","187","1","14","29","0","5"
"29","2001","14.5","17.8","12.0","1042.10","11.7","156","0","5","33","0","7"
"30","2002","-","-","-","-","-","-","-","-","-","-","-"
"31","2003","14.9","18.4","12.4","1170.44","11.4","170","1","5","36","0","0"
"32","2004","14.6","18.0","12.2","636.52","14.5","144","3","4","34","0","2"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","15.1","18.9","12.6","1201.16","12.3","150","0","7","32","0","6"
"35","2007","14.7","18.2","12.4","620.49","12.1","141","0","2","18","0","3"
"36","2008","14.7","18.2","12.2","1147.01","14.1","170","1","5","19","0","7"
"37","2009","14.6","18.3","12.1","1057.15","14.3","168","0","5","21","0","5"
"38","2010","14.4","18.0","11.8","1040.60","14.9","172","2","7","15","0","4"
"39","2011","15.1","18.8","12.4","696.22","-","141","1","5","30","0","1"
"40","2012","14.6","18.2","11.8","1153.41","12.2","172","0","4","16","0","1"
"41","2013","14.6","18.0","12.0","1253.44","13.0","174","0","2","18","0","6"
"42","2014","15.1","18.4","12.7","1212.32","12.7","190","0","5","26","0","5"
"43","2015","14.8","17.7","12.5","691.93","12.3","178","21","1","23","0","0"
"44","2016","14.7","18.0","12.1","1238.97","12.1","209","33","4","30","0","2"
"45","2017","15.1","18.5","12.2","-","11.4","201","1","2","26","0","3"
"46","2018","14.6","17.6","12.1","1408.12","12.4","211","2","0","23","0","6"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
