"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2001","-","-","-","-","-","-","-","-","-","-","-"
"2","2002","-","-","-","-","-","-","-","-","-","-","-"
"3","2003","-","-","-","-","-","-","-","-","-","-","-"
"4","2004","-","-","-","-","-","-","-","-","-","-","-"
"5","2005","-","-","-","-","-","-","-","-","-","-","-"
"6","2006","8.8","11.5","6.1","397.52","19.8","173","64","0","5","0","0"
"7","2007","8.6","11.3","6.1","-","21.6","209","39","0","5","0","0"
"8","2008","-","-","-","-","-","-","-","-","-","-","-"
"9","2009","-","-","-","-","-","-","-","-","-","-","-"
"10","2010","6.8","9.5","4.3","506.44","20.8","161","92","0","46","0","0"
"11","2011","8.4","11.1","5.8","399.69","21.0","156","49","0","44","0","0"
"12","2012","7.6","10.4","5.1","507.46","20.9","200","71","0","17","0","0"
"13","2013","-","-","-","-","-","-","-","-","-","-","-"
"14","2014","-","-","-","-","-","-","-","-","-","-","-"
"15","2015","9.1","11.8","6.7","388.63","20.7","186","25","0","14","0","0"
"16","2016","8.5","11.1","6.0","-","-","160","44","0","24","0","0"
"17","2017","-","-","-","-","-","-","-","-","-","-","-"
"18","2018","-","-","-","-","-","-","-","-","-","-","-"
"19","2019","-","-","-","-","-","-","-","-","-","-","-"
