"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1955","8.3","12.8","4.6","1153.46","4.0","158","27","19","63","0","1"
"2","1956","7.2","11.6","3.7","1085.92","5.1","154","43","17","49","0","3"
"3","1957","8.6","13.2","4.9","-","5.9","145","27","9","53","0","0"
"4","1958","8.8","13.0","5.4","-","6.0","161","41","10","49","0","1"
"5","1959","9.5","14.1","5.8","946.18","5.5","146","22","17","56","0","2"
"6","1960","8.8","13.0","5.3","-","5.3","184","37","14","60","0","1"
"7","1961","9.8","14.3","6.1","1024.92","5.5","150","28","6","61","0","1"
"8","1962","8.2","12.6","4.4","831.93","6.9","129","68","7","38","0","0"
"9","1963","7.8","12.1","4.3","-","6.4","157","47","20","55","0","0"
"10","1964","-","-","-","-","-","-","-","-","-","-","-"
"11","1990","-","-","-","-","-","-","-","-","-","-","-"
"12","1991","8.8","12.8","5.2","0.00","11.4","0","0","0","0","0","0"
"13","1992","9.7","13.5","6.2","1.02","11.8","1","0","0","0","0","0"
"14","1993","-","-","-","-","-","-","-","-","-","-","-"
"15","2001","-","-","-","-","-","-","-","-","-","-","-"
"16","2002","-","-","-","-","-","0","0","0","0","0","0"
"17","2003","10.3","15.2","6.0","580.92","10.8","0","0","0","0","0","0"
"18","2004","9.6","13.8","5.9","832.61","11.3","0","0","0","0","0","0"
"19","2005","-","-","-","-","-","-","-","-","-","-","-"
"20","2006","10.1","14.3","6.4","-","10.9","81","0","6","30","0","0"
"21","2007","10.3","14.7","6.4","-","-","129","13","5","29","0","0"
"22","2008","9.9","14.2","5.9","890.23","9.6","128","19","5","32","0","0"
"23","2009","9.8","14.3","5.8","875.23","11.5","135","21","9","36","0","0"
"24","2010","8.9","13.1","5.1","942.26","11.4","141","47","2","19","0","0"
"25","2011","10.5","15.3","6.4","-","11.2","114","13","3","56","0","0"
"26","2012","9.8","14.4","5.9","-","11.7","135","26","6","23","0","0"
"27","2013","9.4","13.4","5.8","916.18","12.0","28","14","0","2","0","0"
"28","2014","10.8","15.3","7.1","767.38","11.3","0","0","0","0","0","0"
"29","2015","10.7","15.3","6.5","783.40","12.3","0","0","0","0","0","0"
"30","2016","10.1","14.2","6.3","1101.04","12.1","0","0","0","0","0","0"
"31","2017","10.3","14.8","6.1","878.16","12.7","0","0","0","0","0","0"
"32","2018","11.5","16.1","7.3","903.22","12.2","0","0","0","0","0","0"
"33","2019","-","-","-","-","-","-","-","-","-","-","-"
