"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","24.0","28.3","20.1","-","11.8","88","2","26","47","0","0"
"2","1974","23.7","27.9","19.9","-","15.2","120","0","31","104","0","0"
"3","1975","23.8","28.0","19.9","-","11.8","144","0","37","329","0","0"
"4","1976","23.4","27.7","19.2","-","10.4","81","1","19","292","0","1"
"5","1977","23.8","27.9","20.0","-","10.3","106","3","31","61","1","0"
"6","1978","24.1","28.2","20.3","-","7.7","136","2","45","65","0","2"
"7","1979","24.2","28.3","20.2","-","8.5","118","1","41","41","0","1"
"8","1980","24.5","28.6","20.5","-","9.2","95","3","26","30","1","0"
"9","1981","24.2","28.0","20.4","-","9.0","129","0","29","12","0","1"
"10","1982","24.1","28.0","20.5","1214.39","9.1","104","2","37","15","0","1"
"11","1983","24.1","28.1","20.0","774.43","11.7","122","0","50","22","2","1"
"12","1984","24.0","28.3","20.1","902.46","12.5","131","1","46","9","0","2"
"13","1985","24.0","28.3","20.0","1036.87","12.0","128","0","28","21","1","2"
"14","1986","24.1","28.1","20.2","750.34","12.0","111","0","25","17","1","1"
"15","1987","24.6","28.7","20.6","574.08","11.6","103","0","38","15","1","1"
"16","1988","24.2","28.6","20.2","613.16","9.7","116","1","23","20","2","0"
"17","1989","24.2","28.4","20.1","514.35","9.3","120","0","30","15","0","0"
"18","1990","24.5","28.4","20.8","679.96","9.6","109","0","27","7","1","0"
"19","1991","24.8","28.7","21.1","635.80","9.8","119","0","27","10","0","0"
"20","1992","24.5","28.5","20.6","724.72","9.3","129","0","28","12","0","1"
"21","1993","24.8","28.9","20.9","471.19","9.8","101","0","32","4","0","0"
"22","1994","25.0","29.2","21.0","754.14","9.8","118","0","31","1","1","0"
"23","1995","24.6","29.1","20.6","1123.96","9.4","99","4","20","3","0","0"
"24","1996","24.8","29.2","20.6","612.92","9.5","118","6","33","9","0","3"
"25","1997","24.8","29.1","21.1","590.32","9.4","116","1","26","3","1","0"
"26","1998","26.0","30.1","22.3","321.30","9.9","128","2","40","9","0","0"
"27","1999","25.1","28.9","21.8","-","9.2","130","0","39","2","0","0"
"28","2000","25.2","28.8","21.9","-","9.8","119","0","29","11","1","0"
"29","2001","25.3","28.8","22.2","-","10.4","99","0","26","2","0","0"
"30","2002","-","-","-","-","-","80","0","15","0","0","0"
"31","2003","25.3","28.7","22.2","-","9.7","73","0","23","1","0","0"
"32","2004","25.0","28.3","21.9","-","10.5","79","0","17","2","1","0"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","25.5","29.1","22.4","-","11.1","108","0","37","3","0","0"
"35","2007","25.3","28.9","22.2","-","11.3","114","0","41","0","0","0"
"36","2008","25.4","29.4","22.2","-","11.6","118","0","36","3","0","0"
"37","2009","25.5","29.4","22.2","-","11.8","93","0","25","2","0","0"
"38","2010","25.5","29.4","22.3","-","11.5","108","0","44","0","0","0"
"39","2011","25.2","29.1","22.2","-","11.6","123","0","37","2","0","0"
"40","2012","25.6","29.7","22.3","-","11.5","140","0","60","1","0","0"
"41","2013","25.4","29.3","22.1","-","11.5","119","0","41","0","0","0"
"42","2014","25.5","29.2","22.3","-","11.1","138","0","34","1","1","0"
"43","2015","25.8","29.4","22.8","-","11.9","111","0","17","1","0","0"
"44","2016","25.6","29.0","22.7","-","11.7","168","0","35","2","0","1"
"45","2017","26.0","29.6","22.9","-","10.9","136","0","22","2","0","0"
"46","2018","25.6","29.2","22.6","-","10.9","149","0","39","0","0","0"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
