"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","-","-","-","-","-","-","-","-","-","-","-"
"7","1979","-","-","-","-","-","-","-","-","-","-","-"
"8","1980","26.9","31.0","23.8","-","11.4","86","1","69","15","0","0"
"9","1981","-","-","-","-","-","-","-","-","-","-","-"
"10","1982","26.6","30.4","23.4","-","11.1","75","0","81","23","0","0"
"11","1983","26.9","31.0","23.0","775.45","13.1","54","0","54","14","1","0"
"12","1984","27.3","31.7","23.0","991.09","11.2","57","0","96","16","1","0"
"13","1985","27.0","31.1","22.9","-","10.8","59","0","93","11","0","1"
"14","1986","26.7","31.2","22.6","652.27","11.2","50","0","69","11","0","0"
"15","1987","-","-","-","-","-","-","-","-","-","-","-"
"16","1988","-","-","-","-","-","-","-","-","-","-","-"
"17","1989","26.8","30.8","23.9","1080.44","10.5","71","0","81","23","1","0"
"18","1990","27.0","30.8","24.4","1015.23","12.3","59","0","68","4","1","0"
"19","1991","-","-","-","-","-","-","-","-","-","-","-"
"20","1992","-","-","-","-","-","-","-","-","-","-","-"
"21","1993","-","-","-","-","-","-","-","-","-","-","-"
"22","1994","-","-","-","-","-","-","-","-","-","-","-"
"23","1995","-","-","-","-","-","-","-","-","-","-","-"
"24","1996","-","-","-","-","-","-","-","-","-","-","-"
"25","1997","-","-","-","-","-","-","-","-","-","-","-"
"26","1998","-","-","-","-","-","-","-","-","-","-","-"
"27","1999","-","-","-","-","-","-","-","-","-","-","-"
"28","2000","27.3","31.4","24.4","-","13.6","55","0","52","5","0","0"
"29","2001","27.2","31.3","24.6","-","13.6","75","1","81","7","0","0"
"30","2002","-","-","-","-","-","-","-","-","-","-","-"
"31","2003","-","-","-","-","-","-","-","-","-","-","-"
"32","2004","27.2","31.4","24.5","1014.98","11.4","79","1","90","6","0","1"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","-","-","-","-","-","-","-","-","-","-","-"
"35","2007","27.2","31.9","24.3","1043.40","-","87","0","109","8","0","0"
"36","2008","-","-","-","-","-","-","-","-","-","-","-"
"37","2009","27.4","31.8","24.6","-","12.5","79","0","92","2","0","0"
"38","2010","27.8","32.3","-","-","12.1","120","0","134","5","0","0"
"39","2011","27.3","32.0","-","-","12.0","96","0","126","5","0","0"
"40","2012","27.2","31.6","24.4","-","12.7","81","0","114","12","0","1"
"41","2013","27.5","31.4","24.7","-","13.4","75","0","110","9","0","0"
"42","2014","27.5","30.6","24.8","-","12.9","111","0","125","0","0","0"
"43","2015","27.6","31.1","24.8","-","13.9","80","1","102","4","0","0"
"44","2016","27.9","31.4","25.2","-","13.6","94","1","109","0","0","0"
"45","2017","27.8","31.0","25.2","-","14.1","89","0","106","0","0","0"
"46","2018","-","-","-","-","-","76","0","108","1","0","0"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
