"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","21.6","28.3","15.8","-","7.4","25","1","10","1","0","0"
"2","1974","21.4","27.7","15.0","-","6.2","21","1","11","1","0","0"
"3","1975","21.5","27.8","15.2","43.72","6.3","34","0","6","0","0","0"
"4","1976","20.7","27.1","14.8","-","-","47","0","7","0","0","0"
"5","1977","22.3","29.2","15.9","-","5.6","24","0","8","1","0","1"
"6","1978","21.4","28.0","15.0","-","4.8","24","0","4","0","0","0"
"7","1979","21.9","28.3","15.5","90.17","7.8","41","0","10","1","0","0"
"8","1980","21.2","26.7","15.1","25.41","14.6","27","0","3","0","0","0"
"9","1981","21.7","27.9","15.5","8.64","16.7","19","1","5","0","0","0"
"10","1982","21.8","27.5","16.0","181.90","18.0","36","0","8","1","0","0"
"11","1983","21.7","27.6","15.8","43.18","-","19","1","7","0","0","0"
"12","1984","21.0","26.7","15.3","81.81","-","24","0","5","2","0","1"
"13","1985","21.7","27.5","16.1","89.42","17.2","24","0","7","0","0","0"
"14","1986","21.7","27.3","16.0","87.40","17.6","30","0","9","0","0","0"
"15","1987","22.1","28.0","16.3","50.03","18.1","23","0","8","0","0","0"
"16","1988","22.3","28.2","16.9","69.88","18.9","36","1","9","0","0","0"
"17","1989","22.2","27.9","16.7","28.71","17.0","12","0","5","0","0","0"
"18","1990","22.0","27.4","17.1","330.45","15.6","43","0","15","2","0","0"
"19","1991","-","-","-","-","-","-","-","-","-","-","-"
"20","1992","21.5","27.0","16.1","270.72","16.8","33","0","11","2","0","0"
"21","1993","21.8","27.8","16.2","115.05","18.5","24","0","5","2","0","0"
"22","1994","22.6","28.7","16.8","114.83","18.2","27","0","8","0","0","1"
"23","1995","21.9","27.8","16.1","93.94","18.5","33","0","10","4","0","0"
"24","1996","21.6","27.5","15.7","91.95","17.1","43","0","12","0","0","0"
"25","1997","22.3","28.3","16.6","84.06","17.2","22","0","7","1","0","0"
"26","1998","22.2","28.3","16.2","97.27","16.6","17","0","7","1","0","0"
"27","1999","23.1","29.4","17.2","-","17.2","24","0","11","2","0","1"
"28","2000","22.6","28.7","16.3","29.21","15.6","16","0","4","1","0","0"
"29","2001","23.5","29.8","17.2","29.96","15.7","15","0","5","2","0","0"
"30","2002","-","-","-","-","-","29","1","14","0","0","0"
"31","2003","22.7","28.4","17.2","217.17","16.9","37","0","8","0","0","0"
"32","2004","22.2","28.2","16.5","94.23","17.6","33","0","15","0","0","0"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","22.4","28.4","16.8","86.09","17.0","36","0","14","2","0","1"
"35","2007","22.3","28.3","16.6","220.99","17.3","34","0","11","0","0","0"
"36","2008","22.6","28.7","16.6","50.04","15.6","25","0","4","0","0","0"
"37","2009","22.2","28.1","16.3","194.32","13.8","34","0","10","5","0","0"
"38","2010","22.6","28.5","16.8","93.47","14.9","34","0","7","1","0","0"
"39","2011","22.4","28.3","16.5","40.90","15.6","18","0","2","0","0","0"
"40","2012","23.0","29.1","16.8","79.51","15.5","21","0","4","0","0","1"
"41","2013","22.5","28.6","16.6","42.92","19.0","15","0","6","0","0","0"
"42","2014","23.2","29.0","17.5","100.07","19.1","16","0","4","1","0","1"
"43","2015","22.9","28.4","17.3","95.24","17.4","19","0","11","1","0","0"
"44","2016","23.4","29.3","17.8","46.24","17.4","19","0","9","0","0","0"
"45","2017","22.4","28.5","16.7","86.36","17.1","13","0","4","0","0","0"
"46","2018","22.8","29.0","17.2","61.43","18.1","22","0","16","1","0","0"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
