"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2001","-","-","-","-","-","-","-","-","-","-","-"
"2","2002","-","-","-","-","-","-","-","-","-","-","-"
"3","2003","20.6","24.7","17.2","947.67","4.4","73","0","22","0","0","0"
"4","2004","20.7","24.4","17.4","790.16","7.0","50","0","24","0","0","0"
"5","2005","-","-","-","-","-","-","-","-","-","-","-"
"6","2006","20.5","24.4","17.3","835.36","5.9","73","0","46","0","0","0"
"7","2007","20.9","24.9","17.7","903.95","5.8","73","0","29","0","0","1"
"8","2008","21.7","25.3","17.7","618.22","5.5","68","1","33","0","0","0"
"9","2009","22.0","25.0","17.7","1596.42","5.7","99","0","54","0","0","2"
"10","2010","22.9","25.7","18.5","1135.86","5.5","77","0","37","0","0","0"
"11","2011","21.8","24.8","17.3","1264.16","5.1","73","0","36","0","0","1"
"12","2012","21.9","24.9","17.6","1761.73","5.3","90","1","54","0","0","1"
"13","2013","21.4","24.9","17.4","675.63","5.2","69","0","31","0","0","1"
"14","2014","20.9","24.6","17.6","1328.64","4.8","73","0","40","0","0","0"
"15","2015","21.8","24.8","17.8","909.85","5.2","79","0","41","0","0","1"
"16","2016","21.8","24.6","18.1","888.71","5.0","71","0","33","0","0","1"
"17","2017","21.0","24.2","17.6","1090.93","4.5","76","0","38","0","0","1"
"18","2018","22.6","26.3","18.6","-","4.5","82","0","42","0","0","1"
"19","2019","-","-","-","-","-","-","-","-","-","-","-"
