"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1943","-","-","-","-","-","-","-","-","-","-","-"
"2","1944","-","-","-","-","-","-","-","-","-","-","-"
"3","1955","-","-","-","-","-","-","-","-","-","-","-"
"4","1956","-","-","-","-","-","-","-","-","-","-","-"
"5","1957","-","-","-","-","-","-","-","-","-","-","-"
"6","1958","9.7","13.2","6.3","-","13.9","221","25","19","154","0","1"
"7","1959","10.7","14.9","6.8","-","13.9","156","8","12","100","0","1"
"8","1960","9.8","13.3","6.5","-","14.6","198","21","15","101","0","1"
"9","1961","10.3","14.0","6.6","-","14.7","173","6","8","81","0","0"
"10","1962","8.7","12.3","5.3","-","15.6","179","22","7","94","0","0"
"11","1963","8.5","12.0","5.2","-","14.3","180","36","8","124","0","0"
"12","1964","9.4","13.0","5.8","-","13.2","164","15","7","100","0","0"
"13","1965","9.1","12.6","5.6","-","14.4","206","19","8","86","0","0"
"14","1966","9.9","13.3","6.5","-","14.8","226","24","11","90","0","0"
"15","1967","10.1","13.6","6.7","-","13.4","218","12","16","80","0","1"
"16","1968","9.8","13.3","6.5","-","12.9","197","16","10","148","0","0"
"17","1969","10.2","13.9","6.6","-","13.2","187","34","11","160","0","0"
"18","1970","10.1","13.9","6.3","-","14.7","184","25","8","151","0","0"
"19","1971","10.5","14.0","6.9","-","13.7","160","13","6","183","0","0"
"20","1972","-","-","-","-","-","-","-","-","-","-","-"
"21","1973","9.6","13.4","5.9","-","13.0","172","8","10","154","0","0"
"22","1974","9.6","13.1","6.2","-","16.3","215","3","12","109","0","1"
"23","1975","10.2","14.0","6.5","-","13.5","206","15","16","86","0","2"
"24","1976","10.8","14.7","6.9","-","13.7","203","20","8","65","0","0"
"25","1977","10.1","13.3","6.9","-","15.3","227","14","10","49","0","3"
"26","1978","10.0","12.7","6.9","-","14.1","174","19","8","47","0","0"
"27","1979","-","-","-","-","-","-","-","-","-","-","-"
"28","1980","10.2","-","-","-","15.2","179","7","7","20","0","1"
"29","1981","-","-","-","-","-","-","-","-","-","-","-"
"30","1982","-","-","-","-","-","-","-","-","-","-","-"
"31","1983","10.7","14.0","7.4","-","13.9","187","14","25","36","0","2"
"32","1984","-","-","-","-","-","-","-","-","-","-","-"
"33","1985","9.2","12.6","5.9","-","12.9","218","36","16","51","0","1"
"34","1986","8.6","12.2","5.2","-","13.8","214","39","19","29","1","11"
"35","1987","9.4","12.6","6.4","-","11.8","230","33","14","47","2","7"
"36","1988","10.2","13.6","7.1","-","12.3","232","17","15","42","0","4"
"37","1989","-","-","-","-","-","-","-","-","-","-","-"
"38","1990","11.5","15.3","7.7","-","14.4","166","8","6","28","0","0"
"39","1991","9.8","13.3","6.4","-","13.3","189","15","12","52","0","6"
"40","1992","10.3","13.9","6.8","-","13.8","213","7","15","48","0","4"
"41","1993","9.9","13.4","6.5","-","14.4","225","19","10","48","0","1"
"42","1994","-","-","-","-","-","-","-","-","-","-","-"
"43","1995","-","-","-","-","-","-","-","-","-","-","-"
