"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1957","9.3","14.7","5.2","-","10.4","172","26","4","126","0","0"
"2","1958","11.3","17.0","6.9","-","9.2","186","7","6","95","0","0"
"3","1959","9.5","14.7","5.7","-","9.7","193","21","3","106","0","2"
"4","1960","9.6","14.8","5.7","-","9.2","174","19","3","112","0","1"
"5","1961","10.2","15.5","5.9","-","9.6","184","19","4","100","0","1"
"6","1962","9.7","14.8","5.6","-","10.6","181","15","5","142","0","2"
"7","1963","10.0","15.3","6.0","-","11.2","177","16","8","144","0","1"
"8","1964","8.8","13.8","5.1","-","12.1","202","36","3","146","0","2"
"9","1965","9.7","15.1","5.3","-","11.3","171","31","4","150","0","1"
"10","1966","9.6","14.9","5.5","-","12.0","192","29","3","143","0","0"
"11","1967","-","-","-","-","-","-","-","-","-","-","-"
"12","1973","9.3","15.0","4.4","-","10.0","195","28","8","129","0","6"
"13","1974","9.7","15.7","4.1","-","9.9","202","25","5","148","0","14"
"14","1975","8.8","14.5","3.5","-","10.9","187","34","6","136","0","7"
"15","1976","9.3","15.2","4.2","-","9.8","190","16","5","163","0","4"
"16","1977","-","-","-","-","-","-","-","-","-","-","-"
