"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1979","-","-","-","-","-","-","-","-","-","-","-"
"2","1980","-","-","-","-","-","-","-","-","-","-","-"
"3","1981","-","-","-","-","-","-","-","-","-","-","-"
"4","1982","-","-","-","-","-","-","-","-","-","-","-"
"5","1983","15.9","21.8","11.5","1242.56","11.6","98","0","32","51","0","0"
"6","1984","15.7","20.9","11.7","892.03","11.7","107","0","38","51","0","1"
"7","1985","16.4","21.8","12.3","283.48","11.1","95","1","32","61","0","1"
"8","1986","16.5","22.1","12.5","678.11","12.4","118","0","38","45","0","0"
"9","1987","15.9","22.1","11.4","982.94","12.3","104","0","37","53","0","0"
"10","1988","15.4","21.9","10.5","1085.38","12.5","113","0","46","47","0","0"
"11","1989","16.4","22.8","11.6","1030.98","11.8","87","0","27","63","0","0"
"12","1990","16.2","22.6","11.5","1081.79","12.0","110","0","28","36","0","1"
"13","1991","16.5","22.6","11.8","1087.40","11.3","104","1","39","53","0","0"
"14","1992","16.0","22.0","11.7","1117.89","11.6","114","0","43","33","0","0"
"15","1993","16.2","22.5","11.9","1332.05","8.9","119","0","40","39","0","0"
"16","1994","16.3","22.4","11.8","1113.31","8.4","102","1","49","38","0","0"
"17","1995","15.8","22.0","11.2","1076.22","9.3","104","0","35","45","0","0"
"18","1996","16.2","22.6","11.3","1011.97","9.8","97","0","32","51","0","0"
"19","1997","16.5","22.8","11.9","961.44","9.5","106","0","37","42","0","0"
"20","1998","-","-","-","-","-","-","-","-","-","-","-"
"21","1999","-","-","-","-","-","-","-","-","-","-","-"
"22","2000","-","-","-","-","-","-","-","-","-","-","-"
"23","2001","17.6","22.7","12.5","-","9.5","118","0","39","39","0","2"
"24","2002","-","-","-","-","-","-","-","-","-","-","-"
"25","2003","15.7","22.3","10.6","1222.99","7.7","109","0","42","56","0","0"
"26","2004","16.3","22.5","11.4","1284.74","9.0","125","0","32","66","0","1"
"27","2005","-","-","-","-","-","-","-","-","-","-","-"
"28","2006","16.2","22.2","11.2","-","8.4","88","0","21","35","0","2"
"29","2007","-","-","-","-","-","-","-","-","-","-","-"
"30","2008","17.4","23.0","11.4","822.40","11.1","84","0","27","43","0","0"
"31","2009","18.0","22.4","11.4","-","11.5","89","0","27","18","0","1"
"32","2010","17.1","22.8","11.2","1117.83","9.8","101","0","31","29","0","1"
"33","2011","15.9","22.3","10.9","1073.61","9.4","105","0","29","56","0","0"
"34","2012","16.9","23.3","12.0","1427.53","8.9","116","0","45","54","0","0"
"35","2013","16.0","22.7","10.9","1181.89","8.9","109","0","34","66","0","0"
"36","2014","-","-","-","-","-","-","-","-","-","-","-"
"37","2015","16.6","23.4","11.0","1242.04","8.3","85","0","27","66","0","0"
"38","2016","16.1","22.4","11.5","1472.45","9.2","130","0","34","52","0","1"
"39","2017","17.0","24.0","11.7","1194.55","9.7","127","0","36","46","0","0"
"40","2018","16.6","23.1","11.4","-","9.0","127","0","35","40","0","0"
"41","2019","-","-","-","-","-","-","-","-","-","-","-"
