"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1993","-","-","-","-","-","-","-","-","-","-","-"
"2","1994","-","-","-","-","-","-","-","-","-","-","-"
"3","1995","-","-","-","-","-","-","-","-","-","-","-"
"4","1996","-","-","-","-","-","-","-","-","-","-","-"
"5","1997","-","-","-","-","-","-","-","-","-","-","-"
"6","2002","-","-","-","-","-","-","-","-","-","-","-"
"7","2003","-21.0","-17.9","-24.1","0.00","17.6","0","0","0","0","0","0"
"8","2004","-20.6","-18.4","-22.9","0.00","16.5","0","0","0","0","0","0"
"9","2005","-","-","-","-","-","-","-","-","-","-","-"
"10","2006","-20.3","-17.6","-23.0","0.00","-","0","0","0","0","0","0"
"11","2007","-19.4","-16.9","-22.0","0.00","-","0","0","0","0","0","0"
"12","2008","-19.8","-16.8","-22.7","0.00","16.0","0","0","0","0","0","0"
"13","2009","-18.8","-15.8","-21.9","0.00","12.6","0","0","0","0","0","0"
"14","2010","-20.1","-17.0","-23.4","0.00","18.2","0","0","0","0","0","0"
"15","2011","-","-","-","-","-","-","-","-","-","-","-"
"16","2012","-","-","-","-","-","-","-","-","-","-","-"
"17","2013","-","-","-","-","-","-","-","-","-","-","-"
"18","2014","-","-","-","-","-","-","-","-","-","-","-"
"19","2015","-","-","-","-","-","-","-","-","-","-","-"
"20","2016","-","-","-","-","-","-","-","-","-","-","-"
"21","2017","-","-","-","-","-","-","-","-","-","-","-"
"22","2018","-","-","-","-","-","-","-","-","-","-","-"
"23","2019","-","-","-","-","-","-","-","-","-","-","-"
