"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","-","-","-","-","-","-","-","-","-","-","-"
"7","1979","12.1","16.4","6.4","592.11","13.1","97","14","21","20","0","0"
"8","1980","-","-","-","-","-","-","-","-","-","-","-"
"9","1981","-","-","-","-","-","-","-","-","-","-","-"
"10","1982","10.9","16.1","6.3","533.42","6.4","94","12","27","44","0","0"
"11","1983","-","-","-","-","-","-","-","-","-","-","-"
"12","1985","-","-","-","-","-","-","-","-","-","-","-"
"13","1986","-","-","-","-","-","-","-","-","-","-","-"
"14","1987","-","-","-","-","-","-","-","-","-","-","-"
"15","1988","-","-","-","-","-","-","-","-","-","-","-"
"16","1989","11.4","16.5","6.9","531.87","9.4","119","9","29","38","0","0"
"17","1990","11.7","17.5","6.4","316.24","10.2","104","17","22","26","0","0"
"18","1991","10.2","15.4","5.7","641.60","9.7","104","18","26","32","0","0"
"19","1992","12.0","17.5","6.7","424.15","10.8","87","14","23","21","0","0"
"20","1993","11.0","16.3","6.0","388.43","10.5","72","34","20","28","0","0"
"21","1994","12.6","18.0","7.6","567.74","10.1","91","13","21","24","0","1"
"22","1995","11.3","16.4","6.6","543.86","10.8","109","22","26","21","0","0"
"23","1996","10.4","14.9","6.1","309.36","11.0","83","37","25","22","0","0"
"24","1997","10.9","15.9","6.3","441.70","11.1","99","10","25","28","0","0"
"25","1998","11.5","16.6","6.8","537.75","11.0","108","10","26","26","0","0"
"26","1999","-","-","-","-","-","-","-","-","-","-","-"
"27","2000","-","-","-","-","-","66","13","18","27","0","0"
"28","2001","11.7","16.6","6.9","-","11.0","108","21","29","29","0","0"
"29","2002","-","-","-","-","-","-","-","-","-","-","-"
"30","2003","11.5","16.7","6.1","476.50","10.4","74","18","25","58","0","0"
"31","2004","11.4","16.2","6.8","616.24","10.8","110","26","22","30","0","0"
"32","2005","-","-","-","-","-","-","-","-","-","-","-"
"33","2006","11.7","16.7","7.0","-","11.2","106","20","30","32","0","0"
"34","2007","12.5","17.8","7.6","-","11.2","110","10","32","16","0","0"
"35","2008","12.6","18.0","7.6","475.45","11.7","104","7","20","23","0","0"
"36","2009","12.6","17.8","7.6","577.10","11.5","109","19","30","34","0","2"
"37","2010","11.6","16.3","7.3","1005.05","11.2","122","33","29","38","0","1"
"38","2011","11.7","16.9","6.7","373.64","10.3","77","18","23","34","0","0"
"39","2012","12.2","17.8","6.9","452.08","11.0","90","23","18","29","0","0"
"40","2013","12.3","17.3","7.5","612.61","10.9","104","24","26","32","0","0"
"41","2014","12.9","18.0","8.3","635.94","10.8","119","8","32","21","0","0"
"42","2015","12.8","18.0","7.8","411.94","10.6","99","13","17","44","0","0"
"43","2016","12.1","17.4","7.2","723.35","10.9","109","7","32","21","0","0"
"44","2017","12.4","18.1","6.9","381.76","11.4","87","15","22","26","0","0"
"45","2018","13.3","18.7","8.3","786.84","10.4","89","22","32","14","0","0"
"46","2019","-","-","-","-","-","-","-","-","-","-","-"
